merchant_code;nama_merchant;kategori
MCH-6701;Resto Makmur 6701;Retail
MCH-6702;Resto Sentosa 6702;F&B
MCH-6703;Minimarket Sejahtera 6703;Food & Beverage
MCH-6704;Warung Berkah 6704;
MCH-6705;Toko Sentosa 6705;Electronics
MCH-6706;Cafe Indah 6706;Kesehatan
MCH-6707;Warung Abadi 6707;
MCH-6708;Bengkel Mandiri 6708;
MCH-6709;Klinik Indah 6709;Food & Beverage
MCH-6710;Warung Jaya 6710;F&B
MCH-6711;Klinik Abadi 6711;Kesehatan
MCH-6712;Bengkel Abadi 6712;Health
MCH-6713;Klinik Jaya 6713;Retail
MCH-6714;Cafe Mandiri 6714;Electronics
MCH-6715;Toko Sentosa 6715;Kesehatan
MCH-6716;Bengkel Sejahtera 6716;Electronics
MCH-6717;Minimarket Makmur 6717;Food & Beverage
MCH-6718;Resto Sentosa 6718;Health
MCH-6719;Toko Makmur 6719;Food & Beverage
MCH-6720;Apotek Sentosa 6720;Market
MCH-6721;Apotek Mandiri 6721;Health
MCH-6722;Resto Abadi 6722;
MCH-6723;Cafe Abadi 6723;Health
MCH-6724;Apotek Sentosa 6724;
MCH-6725;Bengkel Mandiri 6725;Electronics
MCH-6726;Warung Abadi 6726;Electronics
MCH-6727;Warung Abadi 6727;Health
MCH-6728;Toko Indah 6728;Health
MCH-6729;Apotek Indah 6729;Electronics
MCH-6730;Cafe Berkah 6730;F&B
MCH-6731;Resto Indah 6731;Market
MCH-6732;Minimarket Sejahtera 6732;Market
MCH-6733;Bengkel Jaya 6733;
MCH-6734;Warung Makmur 6734;
MCH-6735;Apotek Abadi 6735;Food & Beverage
MCH-6736;Apotek Abadi 6736;Food & Beverage
MCH-6737;Toko Mandiri 6737;
MCH-6738;Bengkel Sejahtera 6738;Health
MCH-6739;Apotek Makmur 6739;
MCH-6740;Toko Indah 6740;Retail
MCH-6741;Bengkel Abadi 6741;Food & Beverage
MCH-6742;Toko Sejahtera 6742;Food & Beverage
MCH-6743;Toko Mandiri 6743;F&B
MCH-6744;Cafe Jaya 6744;Health
MCH-6745;Klinik Sentosa 6745;Electronics
MCH-6746;Resto Sejahtera 6746;Electronics
MCH-6747;Apotek Mandiri 6747;Electronics
MCH-6748;Warung Jaya 6748;Health
MCH-6749;Toko Indah 6749;Market
MCH-6750;Bengkel Abadi 6750;Market
MCH-6751;Bengkel Abadi 6751;
MCH-6752;Apotek Jaya 6752;Kesehatan
MCH-6753;Warung Abadi 6753;
MCH-6754;Bengkel Makmur 6754;Food & Beverage
MCH-6755;Resto Makmur 6755;
MCH-6756;Resto Sentosa 6756;Kesehatan
MCH-6757;Apotek Makmur 6757;Retail
MCH-6758;Warung Indah 6758;Market
MCH-6759;Cafe Makmur 6759;Food & Beverage
MCH-6760;Toko Sejahtera 6760;Food & Beverage
MCH-6761;Bengkel Sejahtera 6761;
MCH-6762;Toko Abadi 6762;Retail
MCH-6763;Apotek Mandiri 6763;
MCH-6764;Resto Abadi 6764;Kesehatan
MCH-6765;Minimarket Berkah 6765;F&B
MCH-6766;Apotek Jaya 6766;
MCH-6767;Cafe Berkah 6767;
MCH-6768;Warung Abadi 6768;Kesehatan
MCH-6769;Resto Abadi 6769;F&B
MCH-6770;Klinik Abadi 6770;Market
MCH-6771;Minimarket Sejahtera 6771;Food & Beverage
MCH-6772;Resto Abadi 6772;Market
MCH-6773;Apotek Sentosa 6773;Electronics
MCH-6774;Toko Abadi 6774;Electronics
MCH-6775;Warung Sejahtera 6775;Market
MCH-6776;Resto Jaya 6776;Retail
MCH-6777;Warung Abadi 6777;
MCH-6778;Toko Berkah 6778;Health
MCH-6779;Klinik Berkah 6779;Kesehatan
MCH-6780;Toko Indah 6780;Kesehatan
MCH-6781;Cafe Abadi 6781;F&B
MCH-6782;Warung Abadi 6782;Health
MCH-6783;Apotek Berkah 6783;Food & Beverage
MCH-6784;Cafe Jaya 6784;Retail
MCH-6785;Apotek Indah 6785;Retail
MCH-6786;Cafe Abadi 6786;Health
MCH-6787;Minimarket Jaya 6787;Retail
MCH-6788;Toko Jaya 6788;Market
MCH-6789;Toko Jaya 6789;Retail
MCH-6790;Klinik Berkah 6790;Kesehatan
MCH-6791;Toko Sentosa 6791;
MCH-6792;Cafe Abadi 6792;Market
MCH-6793;Warung Sejahtera 6793;Market
MCH-6794;Minimarket Berkah 6794;Market
MCH-6795;Resto Makmur 6795;Market
MCH-6796;Resto Berkah 6796;Kesehatan
MCH-6797;Warung Jaya 6797;Food & Beverage
MCH-6798;Minimarket Abadi 6798;Electronics
MCH-6799;Minimarket Berkah 6799;Retail
MCH-6800;Bengkel Indah 6800;Electronics
