merchant_code;nama_merchant;kategori
MCH-6201;Minimarket Sejahtera 6201;Food & Beverage
MCH-6202;Bengkel Sejahtera 6202;Kesehatan
MCH-6203;Resto Abadi 6203;Market
MCH-6204;Warung Indah 6204;Kesehatan
MCH-6205;Minimarket Mandiri 6205;Market
MCH-6206;Toko Mandiri 6206;Food & Beverage
MCH-6207;Apotek Makmur 6207;Electronics
MCH-6208;Warung Indah 6208;Electronics
MCH-6209;Bengkel Makmur 6209;Kesehatan
MCH-6210;Cafe Jaya 6210;Kesehatan
MCH-6211;Klinik Mandiri 6211;Food & Beverage
MCH-6212;Warung Indah 6212;Kesehatan
MCH-6213;Cafe Abadi 6213;Health
MCH-6214;Toko Mandiri 6214;F&B
MCH-6215;Toko Sejahtera 6215;F&B
MCH-6216;Apotek Indah 6216;Health
MCH-6217;Apotek Sentosa 6217;Health
MCH-6218;Toko Jaya 6218;F&B
MCH-6219;Resto Sejahtera 6219;Food & Beverage
MCH-6220;Apotek Mandiri 6220;
MCH-6221;Cafe Abadi 6221;
MCH-6222;Bengkel Makmur 6222;Market
MCH-6223;Apotek Jaya 6223;
MCH-6224;Cafe Makmur 6224;
MCH-6225;Bengkel Sentosa 6225;
MCH-6226;Resto Sentosa 6226;Kesehatan
MCH-6227;Minimarket Sejahtera 6227;Electronics
MCH-6228;Bengkel Mandiri 6228;Retail
MCH-6229;Klinik Berkah 6229;Kesehatan
MCH-6230;Minimarket Berkah 6230;Market
MCH-6231;Resto Jaya 6231;Electronics
MCH-6232;Bengkel Abadi 6232;Market
MCH-6233;Cafe Mandiri 6233;Retail
MCH-6234;Toko Sentosa 6234;Food & Beverage
MCH-6235;Cafe Sentosa 6235;Kesehatan
MCH-6236;Warung Abadi 6236;Food & Beverage
MCH-6237;Klinik Abadi 6237;Market
MCH-6238;Minimarket Indah 6238;
MCH-6239;Apotek Jaya 6239;F&B
MCH-6240;Warung Abadi 6240;
MCH-6241;Apotek Abadi 6241;Retail
MCH-6242;Cafe Sentosa 6242;Electronics
MCH-6243;Cafe Jaya 6243;Market
MCH-6244;Klinik Jaya 6244;Food & Beverage
MCH-6245;Minimarket Mandiri 6245;
MCH-6246;Warung Jaya 6246;Kesehatan
MCH-6247;Minimarket Abadi 6247;Food & Beverage
MCH-6248;Toko Sentosa 6248;Market
MCH-6249;Warung Mandiri 6249;Market
MCH-6250;Cafe Sentosa 6250;Retail
MCH-6251;Cafe Indah 6251;Electronics
MCH-6252;Minimarket Abadi 6252;Health
MCH-6253;Klinik Mandiri 6253;Market
MCH-6254;Minimarket Makmur 6254;
MCH-6255;Toko Berkah 6255;Kesehatan
MCH-6256;Resto Mandiri 6256;Food & Beverage
MCH-6257;Apotek Berkah 6257;Retail
MCH-6258;Toko Sentosa 6258;Kesehatan
MCH-6259;Cafe Mandiri 6259;Health
MCH-6260;Cafe Sejahtera 6260;Food & Beverage
MCH-6261;Bengkel Jaya 6261;Market
MCH-6262;Bengkel Jaya 6262;
MCH-6263;Bengkel Jaya 6263;Market
MCH-6264;Klinik Indah 6264;Food & Beverage
MCH-6265;Bengkel Mandiri 6265;F&B
MCH-6266;Resto Abadi 6266;Health
MCH-6267;Warung Berkah 6267;F&B
MCH-6268;Warung Abadi 6268;Electronics
MCH-6269;Resto Abadi 6269;Kesehatan
MCH-6270;Apotek Sentosa 6270;Kesehatan
MCH-6271;Apotek Makmur 6271;Retail
MCH-6272;Minimarket Sejahtera 6272;Retail
MCH-6273;Resto Makmur 6273;Market
MCH-6274;Bengkel Berkah 6274;F&B
MCH-6275;Cafe Makmur 6275;Food & Beverage
MCH-6276;Warung Sentosa 6276;Market
MCH-6277;Cafe Makmur 6277;Kesehatan
MCH-6278;Klinik Mandiri 6278;Food & Beverage
MCH-6279;Klinik Indah 6279;Electronics
MCH-6280;Klinik Jaya 6280;Food & Beverage
MCH-6281;Cafe Berkah 6281;Market
MCH-6282;Toko Indah 6282;Electronics
MCH-6283;Apotek Berkah 6283;Electronics
MCH-6284;Warung Sentosa 6284;Health
MCH-6285;Warung Jaya 6285;Kesehatan
MCH-6286;Warung Berkah 6286;Electronics
MCH-6287;Minimarket Jaya 6287;Food & Beverage
MCH-6288;Minimarket Jaya 6288;Electronics
MCH-6289;Apotek Sentosa 6289;Retail
MCH-6290;Resto Abadi 6290;Health
MCH-6291;Toko Indah 6291;Market
MCH-6292;Apotek Sejahtera 6292;
MCH-6293;Warung Makmur 6293;
MCH-6294;Bengkel Abadi 6294;Food & Beverage
MCH-6295;Cafe Makmur 6295;
MCH-6296;Toko Abadi 6296;Health
MCH-6297;Warung Makmur 6297;
MCH-6298;Warung Sejahtera 6298;Food & Beverage
MCH-6299;Resto Jaya 6299;Market
MCH-6300;Cafe Berkah 6300;Kesehatan
