trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-358811;05-11-2029;N-26564;livin;MCH-5218;Denpasar;5.422.288;2500
TRX-357144;04-12-2029;N-24077;livin;MCH-5335;BDG;320.894;6500
TRX-361828;09-11-2029;N-18429;qris;MCH-6560;Balikpapan;7.936.228;0
TRX-361559;18-01-2030;N-21643;livin;MCH-5915;Pontianak;4.972.804;2500
TRX-361631;03-11-2029;N-24328;livin;MCH-6640;Semarang;1.064.003;2500
TRX-356305;27-12-2029;N-20735;livin;MCH-6169;Jakarta Selatan;914.388;
TRX-364846;07-01-2030;N-19017;ATM_LINK;MCH-6101;Banjarmasin;6.803.555;2500
TRX-360516;11-12-2029;N-26786;ATM;MCH-5809;Manado;2.296.384;0
TRX-356369;02-12-2029;N-14872;ATM;MCH-5348;Jakarta Selatan;553.599,00;2500
TRX-356280;19-12-2029;N-24760;LIVIN;MCH-5820;Palembang;7.166.507;2500
TRX-360761;01-11-2029;N-17662;bifast;MCH-5702;Banjarmasin;9.058.867,24;0
TRX-363860;;N-14348;LIVIN;MCH-5212;SBY;9.156.651;2500
TRX-358518;13-01-2030;N-19280;BIFAST;MCH-5282;Padang;-132.434,56;6500
TRX-357915;27-11-2029;N-11925;ATM_LINK;MCH-6693;Jakarta Selatan;6.190.965;6500
TRX-357265;13-12-2029;N-19243;ATM_LINK;MCH-5045;Jkt Sel;8.094.466;2500
TRX-362424;21-01-2030;N-14677;livin;MCH-6280;Makassar;1.430.819;2500
TRX-355757;05-11-2029;N-13741;ATM;MCH-5397;BDG;2.285.632;2500
TRX-356825;14-01-2030;N-19409;QRIS;MCH-5952;Surabaya;2.113.117;0
TRX-358751;03-01-2030;N-21009;BI_FAST;MCH-5338;Padang;8.607.098;6500
TRX-360134;07-12-2029;N-15794;livin;MCH-6619;Banjarmasin;5.653.185,06;0
TRX-358438;29-11-2029;N-21761;QRIS;MCH-5296;Manado;6.088.244;2500
TRX-361973;20-12-2029;N-26699;livin;MCH-5255;Balikpapan;8.284.413;2500
TRX-356996;22-12-2029;N-15008;ATM_LINK;MCH-5485;Padang;4.522.202,00;2500
TRX-357434;09-01-2030;N-26010;ATM;MCH-6183;Jayapura;9.704.183;0
TRX-361882;02-12-2029;;BI_FAST;MCH-6112;Padang;2.793.311;0
TRX-357481;06-12-2029;N-24847;livin;MCH-5333;Jakarta Selatan;7.337.266;0
TRX-355168;02-12-2029;N-18103;LIVIN;MCH-6183;BDG;-8.601.631;0
TRX-357503;08-11-2029;N-14200;bifast;MCH-6359;Denpasar;2.892.135;2500
TRX-364004;28-12-2029;N-21571;LIVIN;MCH-5706;Balikpapan;2.293.693;2500
TRX-364574;17-12-2029;N-20008;QRIS;MCH-5648;Surabaya;5.262.541,88;2500
TRX-363366;18-01-2030;N-21891;BI_FAST;MCH-6485;Surabaya;2.434.075,60;6500
TRX-358285;02-01-2030;N-12735;bifast;MCH-6620;Semarang;1.502.861,63;0
TRX-359462;08-01-2030;N-22717;ATM_LINK;MCH-5134;Palembang;2.688.305;6500
TRX-356327;05-11-2029;N-24868;bifast;MCH-5320;Bandung;3.984.282;2500
TRX-358398;;N-10923;livin;MCH-5819;Manado;5.745.511;6500
TRX-362191;20-01-2030;N-22821;QRIS;MCH-6227;Banjarmasin;7.290.822,86;6500
TRX-363643;12-12-2029;N-15541;livin;MCH-6091;Denpasar;6.002.029,52;2500
TRX-362695;22-12-2029;N-13917;bifast;MCH-6467;Yogyakarta;6.576.438,46;0
TRX-363367;02-11-2029;N-26663;qris;MCH-5104;Manado;3.442.764;6500
TRX-356787;26-11-2029;N-20651;BIFAST;MCH-6033;Denpasar;2.561.000,81;0
TRX-360187;06-12-2029;N-21575;BIFAST;MCH-5952;Makassar;2.439.794,73;0
