merchant_code;nama_merchant;kategori
MCH-6601;Apotek Sentosa 6601;F&B
MCH-6602;Apotek Berkah 6602;
MCH-6603;Warung Mandiri 6603;F&B
MCH-6604;Klinik Makmur 6604;Electronics
MCH-6605;Minimarket Sentosa 6605;Health
MCH-6606;Bengkel Indah 6606;Electronics
MCH-6607;Resto Mandiri 6607;
MCH-6608;Toko Jaya 6608;
MCH-6609;Klinik Sentosa 6609;Market
MCH-6610;Warung Makmur 6610;Market
MCH-6611;Minimarket Makmur 6611;
MCH-6612;Minimarket Mandiri 6612;Market
MCH-6613;Klinik Abadi 6613;Health
MCH-6614;Apotek Indah 6614;Food & Beverage
MCH-6615;Toko Berkah 6615;Electronics
MCH-6616;Klinik Sejahtera 6616;Retail
MCH-6617;Klinik Indah 6617;F&B
MCH-6618;Klinik Sentosa 6618;F&B
MCH-6619;Klinik Sentosa 6619;Electronics
MCH-6620;Bengkel Berkah 6620;Retail
MCH-6621;Apotek Berkah 6621;F&B
MCH-6622;Cafe Abadi 6622;F&B
MCH-6623;Bengkel Sejahtera 6623;Food & Beverage
MCH-6624;Warung Makmur 6624;Kesehatan
MCH-6625;Toko Jaya 6625;Health
MCH-6626;Resto Indah 6626;Food & Beverage
MCH-6627;Klinik Sentosa 6627;
MCH-6628;Cafe Berkah 6628;Health
MCH-6629;Resto Makmur 6629;F&B
MCH-6630;Warung Mandiri 6630;F&B
MCH-6631;Warung Mandiri 6631;Food & Beverage
MCH-6632;Toko Makmur 6632;Kesehatan
MCH-6633;Resto Makmur 6633;Food & Beverage
MCH-6634;Resto Mandiri 6634;
MCH-6635;Minimarket Berkah 6635;
MCH-6636;Cafe Jaya 6636;F&B
MCH-6637;Bengkel Abadi 6637;Market
MCH-6638;Minimarket Abadi 6638;F&B
MCH-6639;Warung Sentosa 6639;Electronics
MCH-6640;Minimarket Jaya 6640;Retail
MCH-6641;Minimarket Sejahtera 6641;Kesehatan
MCH-6642;Apotek Mandiri 6642;Food & Beverage
MCH-6643;Warung Makmur 6643;Kesehatan
MCH-6644;Minimarket Sejahtera 6644;Kesehatan
MCH-6645;Bengkel Abadi 6645;F&B
MCH-6646;Minimarket Indah 6646;F&B
MCH-6647;Cafe Indah 6647;Food & Beverage
MCH-6648;Toko Sejahtera 6648;Market
MCH-6649;Bengkel Sentosa 6649;Electronics
MCH-6650;Cafe Mandiri 6650;Food & Beverage
MCH-6651;Minimarket Indah 6651;Food & Beverage
MCH-6652;Bengkel Makmur 6652;Market
MCH-6653;Apotek Indah 6653;Electronics
MCH-6654;Minimarket Makmur 6654;
MCH-6655;Klinik Sejahtera 6655;Retail
MCH-6656;Minimarket Makmur 6656;Electronics
MCH-6657;Toko Indah 6657;Kesehatan
MCH-6658;Cafe Sentosa 6658;Retail
MCH-6659;Cafe Sejahtera 6659;Market
MCH-6660;Klinik Sentosa 6660;Market
MCH-6661;Apotek Sentosa 6661;Health
MCH-6662;Apotek Sejahtera 6662;F&B
MCH-6663;Bengkel Makmur 6663;Kesehatan
MCH-6664;Cafe Sentosa 6664;Health
MCH-6665;Klinik Berkah 6665;F&B
MCH-6666;Minimarket Sentosa 6666;
MCH-6667;Apotek Indah 6667;Electronics
MCH-6668;Cafe Abadi 6668;Market
MCH-6669;Bengkel Sentosa 6669;Food & Beverage
MCH-6670;Resto Sejahtera 6670;
MCH-6671;Minimarket Indah 6671;Electronics
MCH-6672;Cafe Makmur 6672;F&B
MCH-6673;Apotek Jaya 6673;Retail
MCH-6674;Warung Indah 6674;F&B
MCH-6675;Klinik Berkah 6675;Electronics
MCH-6676;Bengkel Jaya 6676;Retail
MCH-6677;Minimarket Berkah 6677;Food & Beverage
MCH-6678;Apotek Mandiri 6678;
MCH-6679;Minimarket Makmur 6679;F&B
MCH-6680;Apotek Abadi 6680;Retail
MCH-6681;Minimarket Indah 6681;Health
MCH-6682;Klinik Indah 6682;Retail
MCH-6683;Minimarket Mandiri 6683;Food & Beverage
MCH-6684;Cafe Indah 6684;Food & Beverage
MCH-6685;Minimarket Makmur 6685;Health
MCH-6686;Bengkel Jaya 6686;Retail
MCH-6687;Resto Sejahtera 6687;Health
MCH-6688;Cafe Mandiri 6688;
MCH-6689;Warung Makmur 6689;Food & Beverage
MCH-6690;Klinik Jaya 6690;
MCH-6691;Toko Mandiri 6691;Kesehatan
MCH-6692;Toko Sentosa 6692;F&B
MCH-6693;Bengkel Indah 6693;Market
MCH-6694;Apotek Makmur 6694;Health
MCH-6695;Cafe Jaya 6695;F&B
MCH-6696;Apotek Makmur 6696;Kesehatan
MCH-6697;Apotek Abadi 6697;Kesehatan
MCH-6698;Klinik Mandiri 6698;Health
MCH-6699;Cafe Sejahtera 6699;Electronics
MCH-6700;Toko Sejahtera 6700;Health
