trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-390530;15-07-2030;N-17328;BI_FAST;MCH-5705;Balikpapan;4.426.414;0
TRX-387496;22-07-2030;N-15722;BIFAST;MCH-5445;Makassar;9.908.858;2500
TRX-386664;29-08-2030;N-12075;ATM;MCH-5700;BDG;1.535.424;2500
TRX-394100;26-07-2030;N-21484;ATM;MCH-6584;Medan;6.369.968;0
TRX-394839;21-07-2030;N-19201;bifast;MCH-5347;Semarang;2.216.588;2500
TRX-387649;01-09-2030;N-20262;BI_FAST;MCH-6207;SBY;6.855.275;6500
TRX-385545;12-08-2030;N-28413;LIVIN;MCH-5120;Yogyakarta;3.068.473;0
TRX-386517;20-08-2030;N-11863;LIVIN;MCH-6789;Denpasar;8.935.562,47;6500
TRX-388215;03-10-2030;N-24074;bifast;MCH-5463;Manado;1.434.367;2500
TRX-393864;30-09-2030;N-17938;BIFAST;MCH-5001;Palembang;2.531.195;0
TRX-386527;27-09-2030;N-28231;livin;MCH-6668;Banjarmasin;1.575.510;0
TRX-393224;30-07-2030;N-22463;ATM_LINK;MCH-5499;Balikpapan;7.834.591;0
TRX-393794;17-09-2030;N-17766;bifast;MCH-6692;Jakarta Selatan;5.274.919;0
TRX-389195;24-07-2030;N-22274;ATM_LINK;MCH-6387;Yogyakarta;1.887.711;2500
TRX-386886;05-10-2030;N-27378;LIVIN;MCH-6781;Makassar;4.006.413;0
TRX-390729;17-08-2030;N-25587;BIFAST;MCH-6497;Yogyakarta;8.743.177;6500
TRX-385626;02-10-2030;N-12117;livin;MCH-5523;Padang;7.968.801;0
TRX-392895;15-08-2030;N-28012;livin;MCH-6575;Padang;2.815.273;6500
TRX-392155;14-08-2030;N-25824;ATM_LINK;MCH-5363;Yogyakarta;1.009.749,82;2500
TRX-385896;11-08-2030;N-29162;ATM_LINK;MCH-5641;Jayapura;1.652.468;6500
TRX-385466;27-09-2030;N-21437;qris;MCH-6070;Balikpapan;3.240.821;2500
TRX-385367;27-07-2030;N-17491;livin;MCH-6734;Padang;8.184.615;6500
TRX-385205;01-10-2030;N-16834;ATM;MCH-5879;Jkt Sel;1.116.810;2500
TRX-392036;10-09-2030;N-11134;ATM_LINK;MCH-5243;Padang;2.186.227;2500
TRX-392794;25-07-2030;N-28624;BIFAST;MCH-5656;Bandung;8.663.579;2500
TRX-391036;28-09-2030;N-29378;ATM;MCH-6424;Jayapura;-5.345.608;6500
TRX-394290;20-08-2030;N-28980;BIFAST;MCH-6278;Jayapura;3.770.365;2500
TRX-388836;16-09-2030;N-28581;livin;MCH-6763;Manado;4.733.709;0
TRX-388820;05-10-2030;N-23059;ATM_LINK;MCH-5482;Yogyakarta;3.939.962;0
TRX-392138;20-08-2030;N-27341;QRIS;MCH-5892;Surabaya;9.413.101;0
TRX-388193;31-07-2030;N-15151;ATM;MCH-6972;Medan;8.425.602;2500
TRX-389571;31-07-2030;N-12058;LIVIN;MCH-6682;Manado;1.206.324,96;6500
TRX-389323;16-07-2030;N-28922;bifast;MCH-6362;Padang;9.690.965;2500
TRX-385722;04-09-2030;N-18720;LIVIN;MCH-5313;Bandung;4.083.617;6500
TRX-392786;07-09-2030;N-19111;ATM_LINK;MCH-5481;Pontianak;7.223.481;6500
TRX-390315;04-10-2030;N-24213;BI_FAST;MCH-6338;Yogyakarta;9.771.419,94;6500
TRX-390369;18-09-2030;N-15545;BIFAST;MCH-6388;Bandung;2.243.452,74;2500
TRX-394774;01-09-2030;N-15909;bifast;MCH-6654;Makassar;6.631.039;0
TRX-393147;17-07-2030;N-21333;BIFAST;MCH-5600;Jayapura;1.976.455;2500
TRX-386062;31-07-2030;N-27167;ATM_LINK;MCH-5151;Makassar;9.080.817;6500
TRX-389081;19-08-2030;N-11794;bifast;MCH-6286;Jayapura;7.771.137;0
TRX-393072;03-09-2030;N-24468;QRIS;MCH-5076;Denpasar;9.020.680;6500
TRX-388900;04-09-2030;N-27958;QRIS;MCH-6400;Semarang;2.751.795,38;2500
TRX-389748;13-08-2030;N-13453;ATM_LINK;MCH-5389;Pekanbaru;5.033.063;0
TRX-392938;30-07-2030;N-29373;ATM;MCH-6176;Surabaya;3.591.258;6500
TRX-389788;26-08-2030;N-20396;BIFAST;MCH-6279;Pekanbaru;4.302.248;6500
TRX-392100;17-09-2030;N-15437;BIFAST;MCH-6254;Denpasar;7.637.138;2500
TRX-393298;04-10-2030;N-14281;QRIS;MCH-5992;SBY;6.926.916,78;2500
TRX-394349;30-08-2030;N-25183;qris;MCH-6542;Jakarta Selatan;4.519.846,32;0
TRX-390909;16-07-2030;N-12062;qris;MCH-5931;Jakarta Selatan;1.203.685;0
TRX-386222;05-08-2030;N-16586;bifast;MCH-5155;Bandung;6.923.038;0
TRX-390007;16-08-2030;N-11824;ATM_LINK;;Jayapura;9.750.848;0
TRX-386425;31-08-2030;N-13186;livin;MCH-5068;BDG;4.199.479;2500
TRX-390943;26-08-2030;N-25374;bifast;MCH-5376;Jkt Sel;3.791.966,59;2500
TRX-392269;14-09-2030;N-16784;QRIS;MCH-6329;Manado;-4.164.135;2500
TRX-391182;30-07-2030;N-29492;qris;MCH-5796;SBY;8.153.971;
TRX-388760;31-13-2026;N-26470;qris;MCH-6569;Pekanbaru;4.420.850,12;0
TRX-390966;18-09-2030;N-29146;QRIS;MCH-5613;Yogyakarta;1.125.229;0
TRX-392099;22-08-2030;N-14724;ATM;MCH-6023;Pontianak;4.742.175;2500
TRX-394230;22-09-2030;N-19090;ATM_LINK;MCH-5261;Makassar;5.999.973,56;6500
TRX-386170;24-08-2030;N-15694;bifast;MCH-6790;Jayapura;1.606.342;
TRX-390248;29-08-2030;N-18494;BIFAST;MCH-5909;SBY;2.396.534;2500
TRX-385321;02-09-2030;N-15694;livin;MCH-5084;Palembang;4.299.751;2500
TRX-390418;06-08-2030;N-15926;qris;MCH-5087;Makassar;4.047.105;0
TRX-388189;10-08-2030;N-19502;QRIS;MCH-5574;Denpasar;7.482.166,06;2500
TRX-387245;10-08-2030;N-11801;BI_FAST;MCH-6118;Balikpapan;6.866.970,23;
TRX-393552;04-10-2030;N-28909;qris;MCH-6766;Palembang;3.897.191;6500
TRX-392694;11-08-2030;N-15580;livin;MCH-6152;Pekanbaru;1.575.180,83;2500
TRX-387954;12-09-2030;N-23999;livin;MCH-6347;Medan;2.980.656;6500
