trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-336253;17-07-2029;N-10918;QRIS;MCH-6110;Jakarta Selatan;7.153.142;6500
TRX-336463;30-05-2029;N-11863;QRIS;MCH-6327;Pontianak;2.454.991,94;0
TRX-343054;22-06-2029;N-13169;QRIS;MCH-5025;Yogyakarta;5.824.771;2500
TRX-339820;29-07-2029;N-18008;ATM;MCH-5955;Balikpapan;1.396.321;2500
TRX-338563;04-06-2029;N-22494;ATM_LINK;MCH-6149;Denpasar;6.013.260;2500
TRX-341321;15-05-2029;N-18673;livin;MCH-6192;Semarang;8.733.559;6500
TRX-344163;13-07-2029;N-18285;QRIS;MCH-5079;Denpasar;5.129.842;0
TRX-337068;21-05-2029;N-21078;livin;MCH-5942;Manado;9.854.667;6500
TRX-338781;30-06-2029;N-16499;LIVIN;MCH-5941;Bandung;-6.583.418;0
TRX-343689;15-05-2029;N-11626;ATM;MCH-5211;Pontianak;6.428.865;0
TRX-341649;05-06-2029;N-16596;bifast;MCH-5978;Bandung;3.396.114;6500
TRX-338609;10-07-2029;N-16126;livin;MCH-6110;SBY;10.254;6500
TRX-342893;24-06-2029;N-24636;livin;MCH-5336;Banjarmasin;3.261.548;6500
TRX-336862;27-06-2029;N-22581;ATM;MCH-6242;Denpasar;3.768.537,09;2500
TRX-340676;20-06-2029;N-11195;BI_FAST;MCH-5413;Medan;9.346.174,11;6500
TRX-340549;28-05-2029;N-24412;QRIS;MCH-5288;Balikpapan;5.857.321;0
TRX-339507;02-08-2029;N-16894;BIFAST;MCH-5295;Semarang;930.051;0
TRX-342396;13-06-2029;N-21863;QRIS;MCH-5542;Semarang;653.681,78;
TRX-343623;15-05-2029;N-20391;ATM_LINK;MCH-5819;Jakarta Selatan;4.842.024;2500
TRX-340993;10-07-2029;N-13914;livin;MCH-6253;Surabaya;5.345.687;2500
TRX-337385;31-07-2029;N-13876;QRIS;MCH-6199;Bandung;1.459.398;6500
TRX-340091;02-07-2029;N-13441;qris;MCH-5918;BDG;4.496.545;0
TRX-335336;14-06-2029;N-24185;BIFAST;MCH-5049;Bandung;3.669.878;2500
TRX-344972;30-07-2029;N-18731;qris;MCH-6279;Balikpapan;8.578.082;6500
TRX-343363;24-05-2029;N-17994;QRIS;MCH-5663;Manado;8.598.572,28;6500
TRX-339430;22-07-2029;N-10021;BIFAST;MCH-5686;SBY;1.096.751;2500
TRX-336280;04-07-2029;N-23620;qris;MCH-5862;Pontianak;603.433,54;0
TRX-339324;12-07-2029;N-18227;qris;MCH-6398;Pontianak;9.794.508;6500
TRX-342679;13-07-2029;N-24659;bifast;MCH-5884;Semarang;3.556.463;0
TRX-337581;08-06-2029;N-17375;bifast;MCH-5492;Pekanbaru;9.861.428;0
TRX-337274;12-07-2029;N-15445;QRIS;MCH-6091;Padang;3.795.880;2500
TRX-337917;12-07-2029;N-12109;QRIS;MCH-5269;Banjarmasin;1.782.961;6500
TRX-340254;24-05-2029;N-19423;BIFAST;MCH-6014;Makassar;7.551.808;2500
TRX-338121;10-06-2029;N-11511;ATM;MCH-6288;Pekanbaru;1.591.987;
TRX-335890;30-05-2029;N-14650;qris;MCH-6090;Padang;1.219.602,56;
TRX-340321;21-05-2029;N-15709;qris;MCH-5819;Jayapura;5.797.742,46;6500
TRX-342043;17-06-2029;N-14273;BI_FAST;MCH-5926;Pekanbaru;4.562.729;0
TRX-340629;14-05-2029;N-17236;ATM_LINK;MCH-5078;Banjarmasin;7.888.294;6500
TRX-344487;09-05-2029;N-12797;livin;MCH-6033;SBY;4.640.518;6500
TRX-339155;18-07-2029;N-18724;LIVIN;MCH-6168;Jkt Sel;4.803.196;6500
TRX-336120;25-05-2029;N-15841;qris;MCH-5510;Manado;235.275;0
TRX-343666;28-07-2029;N-18820;BIFAST;MCH-5095;Pontianak;1.239.190;0
TRX-336894;17-07-2029;N-13411;bifast;MCH-6395;Banjarmasin;9.849.812,62;6500
TRX-343418;01-08-2029;N-14356;BI_FAST;MCH-5459;Pekanbaru;2.590.711;6500
TRX-335639;16-07-2029;N-16110;QRIS;MCH-5447;Padang;8.273.351;2500
TRX-335264;15-06-2029;N-10821;bifast;MCH-6297;Surabaya;8.008.977;2500
TRX-338409;31-05-2029;N-24493;livin;MCH-5179;SBY;2.676.675,31;0
TRX-344387;21-06-2029;N-13586;QRIS;MCH-5467;Surabaya;5.367.441;6500
TRX-344525;29-07-2029;N-12945;BI_FAST;;Jayapura;9.262.383;0
TRX-337184;23-05-2029;N-18094;ATM;MCH-5582;Surabaya;2.249.738;0
TRX-335603;08-06-2029;N-12763;livin;MCH-6425;Yogyakarta;5.069.970;2500
TRX-338097;24-05-2029;N-12179;QRIS;MCH-6057;BDG;2.838.421;6500
TRX-342708;16-07-2029;N-11537;bifast;MCH-5207;Manado;2.743.467;2500
TRX-342250;30-06-2029;N-12126;livin;MCH-5864;Banjarmasin;8.737.111;6500
TRX-342621;19-05-2029;N-20592;BI_FAST;MCH-6466;Surabaya;9.212.636;0
