merchant_code;nama_merchant;kategori
MCH-6401;Warung Indah 6401;F&B
MCH-6402;Warung Berkah 6402;Retail
MCH-6403;Apotek Jaya 6403;Retail
MCH-6404;Apotek Makmur 6404;Electronics
MCH-6405;Bengkel Indah 6405;Retail
MCH-6406;Warung Makmur 6406;Health
MCH-6407;Resto Berkah 6407;Kesehatan
MCH-6408;Bengkel Sentosa 6408;Kesehatan
MCH-6409;Resto Makmur 6409;F&B
MCH-6410;Resto Abadi 6410;Health
MCH-6411;Toko Mandiri 6411;
MCH-6412;Bengkel Sentosa 6412;Food & Beverage
MCH-6413;Bengkel Abadi 6413;Kesehatan
MCH-6414;Minimarket Sejahtera 6414;F&B
MCH-6415;Warung Mandiri 6415;Kesehatan
MCH-6416;Warung Sejahtera 6416;F&B
MCH-6417;Klinik Jaya 6417;Kesehatan
MCH-6418;Cafe Sejahtera 6418;Food & Beverage
MCH-6419;Cafe Mandiri 6419;Electronics
MCH-6420;Warung Sejahtera 6420;Kesehatan
MCH-6421;Apotek Indah 6421;Electronics
MCH-6422;Minimarket Makmur 6422;Retail
MCH-6423;Klinik Sejahtera 6423;Kesehatan
MCH-6424;Apotek Mandiri 6424;Market
MCH-6425;Minimarket Abadi 6425;F&B
MCH-6426;Apotek Abadi 6426;
MCH-6427;Bengkel Jaya 6427;Kesehatan
MCH-6428;Toko Berkah 6428;
MCH-6429;Apotek Jaya 6429;Health
MCH-6430;Resto Berkah 6430;Kesehatan
MCH-6431;Resto Sejahtera 6431;Market
MCH-6432;Warung Sejahtera 6432;Retail
MCH-6433;Klinik Berkah 6433;Retail
MCH-6434;Bengkel Mandiri 6434;Health
MCH-6435;Bengkel Jaya 6435;Kesehatan
MCH-6436;Klinik Indah 6436;Kesehatan
MCH-6437;Toko Sejahtera 6437;Health
MCH-6438;Apotek Abadi 6438;Kesehatan
MCH-6439;Toko Sejahtera 6439;Food & Beverage
MCH-6440;Toko Jaya 6440;F&B
MCH-6441;Minimarket Indah 6441;Electronics
MCH-6442;Warung Berkah 6442;F&B
MCH-6443;Cafe Sentosa 6443;F&B
MCH-6444;Klinik Makmur 6444;Health
MCH-6445;Cafe Jaya 6445;Market
MCH-6446;Warung Makmur 6446;Health
MCH-6447;Warung Abadi 6447;Kesehatan
MCH-6448;Apotek Indah 6448;
MCH-6449;Warung Mandiri 6449;Market
MCH-6450;Minimarket Jaya 6450;Health
MCH-6451;Minimarket Makmur 6451;
MCH-6452;Toko Sentosa 6452;
MCH-6453;Warung Berkah 6453;
MCH-6454;Resto Mandiri 6454;Electronics
MCH-6455;Klinik Jaya 6455;Retail
MCH-6456;Toko Abadi 6456;Market
MCH-6457;Cafe Sentosa 6457;Electronics
MCH-6458;Warung Sejahtera 6458;Retail
MCH-6459;Apotek Berkah 6459;Electronics
MCH-6460;Cafe Sentosa 6460;F&B
MCH-6461;Resto Abadi 6461;Kesehatan
MCH-6462;Klinik Sentosa 6462;Electronics
MCH-6463;Cafe Sejahtera 6463;F&B
MCH-6464;Bengkel Jaya 6464;Electronics
MCH-6465;Klinik Jaya 6465;
MCH-6466;Toko Sejahtera 6466;
MCH-6467;Klinik Berkah 6467;Kesehatan
MCH-6468;Minimarket Berkah 6468;F&B
MCH-6469;Bengkel Makmur 6469;Food & Beverage
MCH-6470;Klinik Sejahtera 6470;
MCH-6471;Cafe Sejahtera 6471;Health
MCH-6472;Apotek Sejahtera 6472;Food & Beverage
MCH-6473;Cafe Berkah 6473;Electronics
MCH-6474;Bengkel Abadi 6474;Market
MCH-6475;Resto Mandiri 6475;Health
MCH-6476;Bengkel Jaya 6476;Health
MCH-6477;Klinik Berkah 6477;Market
MCH-6478;Warung Abadi 6478;Market
MCH-6479;Resto Sejahtera 6479;F&B
MCH-6480;Bengkel Mandiri 6480;Health
MCH-6481;Apotek Berkah 6481;Electronics
MCH-6482;Klinik Abadi 6482;Retail
MCH-6483;Toko Berkah 6483;Health
MCH-6484;Minimarket Abadi 6484;F&B
MCH-6485;Resto Makmur 6485;Electronics
MCH-6486;Warung Indah 6486;
MCH-6487;Bengkel Makmur 6487;Kesehatan
MCH-6488;Cafe Jaya 6488;
MCH-6489;Apotek Sejahtera 6489;Electronics
MCH-6490;Klinik Berkah 6490;Market
MCH-6491;Apotek Mandiri 6491;Food & Beverage
MCH-6492;Bengkel Sejahtera 6492;Electronics
MCH-6493;Apotek Jaya 6493;Kesehatan
MCH-6494;Minimarket Sentosa 6494;Electronics
MCH-6495;Cafe Sejahtera 6495;F&B
MCH-6496;Apotek Makmur 6496;Electronics
MCH-6497;Resto Jaya 6497;Retail
MCH-6498;Cafe Mandiri 6498;
MCH-6499;Apotek Sentosa 6499;Food & Beverage
MCH-6500;Klinik Makmur 6500;Food & Beverage
