merchant_code;nama_merchant;kategori
MCH-7001;Warung Abadi 7001;Electronics
MCH-7002;Apotek Abadi 7002;Electronics
MCH-7003;Apotek Sentosa 7003;Market
MCH-7004;Klinik Indah 7004;Kesehatan
MCH-7005;Warung Indah 7005;Kesehatan
MCH-7006;Minimarket Berkah 7006;Food & Beverage
MCH-7007;Bengkel Sejahtera 7007;Food & Beverage
MCH-7008;Toko Jaya 7008;Food & Beverage
MCH-7009;Cafe Abadi 7009;Health
MCH-7010;Resto Berkah 7010;Market
MCH-7011;Bengkel Sentosa 7011;Health
MCH-7012;Warung Mandiri 7012;Food & Beverage
MCH-7013;Resto Mandiri 7013;Retail
MCH-7014;Cafe Sejahtera 7014;
MCH-7015;Warung Jaya 7015;Health
MCH-7016;Klinik Makmur 7016;Market
MCH-7017;Warung Indah 7017;Electronics
MCH-7018;Minimarket Makmur 7018;Electronics
MCH-7019;Warung Berkah 7019;Kesehatan
MCH-7020;Apotek Indah 7020;Food & Beverage
MCH-7021;Resto Abadi 7021;Electronics
MCH-7022;Toko Jaya 7022;Retail
MCH-7023;Cafe Sentosa 7023;Food & Beverage
MCH-7024;Warung Berkah 7024;
MCH-7025;Bengkel Abadi 7025;F&B
MCH-7026;Toko Sejahtera 7026;F&B
MCH-7027;Klinik Sentosa 7027;Kesehatan
MCH-7028;Bengkel Sentosa 7028;Food & Beverage
MCH-7029;Klinik Makmur 7029;Kesehatan
MCH-7030;Resto Sejahtera 7030;Electronics
MCH-7031;Apotek Jaya 7031;Retail
MCH-7032;Klinik Berkah 7032;F&B
MCH-7033;Bengkel Mandiri 7033;Market
MCH-7034;Toko Jaya 7034;Food & Beverage
MCH-7035;Warung Sentosa 7035;Retail
MCH-7036;Minimarket Abadi 7036;Kesehatan
MCH-7037;Minimarket Sejahtera 7037;Retail
MCH-7038;Apotek Sentosa 7038;Health
MCH-7039;Apotek Indah 7039;Electronics
MCH-7040;Resto Sejahtera 7040;Food & Beverage
MCH-7041;Klinik Makmur 7041;Kesehatan
MCH-7042;Bengkel Sentosa 7042;Health
MCH-7043;Cafe Jaya 7043;F&B
MCH-7044;Bengkel Sentosa 7044;Market
MCH-7045;Resto Sentosa 7045;F&B
MCH-7046;Cafe Indah 7046;Retail
MCH-7047;Klinik Berkah 7047;Market
MCH-7048;Cafe Berkah 7048;Market
MCH-7049;Minimarket Makmur 7049;Market
MCH-7050;Toko Sejahtera 7050;Retail
MCH-7051;Klinik Sejahtera 7051;Electronics
MCH-7052;Bengkel Berkah 7052;Market
MCH-7053;Klinik Sentosa 7053;Health
MCH-7054;Resto Indah 7054;Kesehatan
MCH-7055;Apotek Mandiri 7055;F&B
MCH-7056;Resto Indah 7056;
MCH-7057;Apotek Abadi 7057;Kesehatan
MCH-7058;Toko Sejahtera 7058;Market
MCH-7059;Apotek Jaya 7059;Retail
MCH-7060;Cafe Sentosa 7060;Market
MCH-7061;Minimarket Mandiri 7061;Health
MCH-7062;Klinik Mandiri 7062;Retail
MCH-7063;Bengkel Sentosa 7063;Kesehatan
MCH-7064;Apotek Berkah 7064;F&B
MCH-7065;Apotek Jaya 7065;Health
MCH-7066;Toko Sentosa 7066;F&B
MCH-7067;Minimarket Abadi 7067;F&B
MCH-7068;Cafe Indah 7068;
MCH-7069;Apotek Sejahtera 7069;F&B
MCH-7070;Warung Abadi 7070;Food & Beverage
MCH-7071;Resto Berkah 7071;Food & Beverage
MCH-7072;Minimarket Mandiri 7072;Electronics
MCH-7073;Resto Mandiri 7073;F&B
MCH-7074;Minimarket Abadi 7074;Retail
MCH-7075;Cafe Jaya 7075;Electronics
MCH-7076;Bengkel Sentosa 7076;Food & Beverage
MCH-7077;Warung Abadi 7077;F&B
MCH-7078;Resto Abadi 7078;Market
MCH-7079;Klinik Berkah 7079;Food & Beverage
MCH-7080;Minimarket Jaya 7080;Electronics
MCH-7081;Klinik Sentosa 7081;Kesehatan
MCH-7082;Minimarket Sentosa 7082;Market
MCH-7083;Cafe Abadi 7083;F&B
MCH-7084;Bengkel Sejahtera 7084;Kesehatan
MCH-7085;Minimarket Makmur 7085;F&B
MCH-7086;Toko Abadi 7086;Kesehatan
MCH-7087;Resto Indah 7087;Retail
MCH-7088;Klinik Abadi 7088;Kesehatan
MCH-7089;Apotek Sentosa 7089;
MCH-7090;Resto Abadi 7090;Market
MCH-7091;Resto Indah 7091;Kesehatan
MCH-7092;Minimarket Indah 7092;F&B
MCH-7093;Minimarket Sejahtera 7093;Market
MCH-7094;Bengkel Sentosa 7094;Kesehatan
MCH-7095;Minimarket Mandiri 7095;Food & Beverage
MCH-7096;Cafe Berkah 7096;Food & Beverage
MCH-7097;Warung Makmur 7097;Health
MCH-7098;Resto Mandiri 7098;
MCH-7099;Toko Abadi 7099;Retail
MCH-7100;Warung Mandiri 7100;F&B
