merchant_code;nama_merchant;kategori
MCH-5101;Bengkel Jaya 5101;F&B
MCH-5102;Warung Sejahtera 5102;
MCH-5103;Bengkel Sejahtera 5103;Electronics
MCH-5104;Resto Abadi 5104;Electronics
MCH-5105;Toko Jaya 5105;Market
MCH-5106;Resto Jaya 5106;Food & Beverage
MCH-5107;Resto Mandiri 5107;Electronics
MCH-5108;Apotek Berkah 5108;
MCH-5109;Apotek Jaya 5109;F&B
MCH-5110;Resto Makmur 5110;Retail
MCH-5111;Apotek Mandiri 5111;
MCH-5112;Klinik Indah 5112;Retail
MCH-5113;Klinik Makmur 5113;Health
MCH-5114;Klinik Indah 5114;Electronics
MCH-5115;Klinik Sejahtera 5115;Retail
MCH-5116;Cafe Berkah 5116;Health
MCH-5117;Toko Jaya 5117;Food & Beverage
MCH-5118;Toko Sentosa 5118;Retail
MCH-5119;Resto Mandiri 5119;Kesehatan
MCH-5120;Bengkel Sejahtera 5120;Retail
MCH-5121;Warung Abadi 5121;Food & Beverage
MCH-5122;Resto Berkah 5122;Food & Beverage
MCH-5123;Klinik Sentosa 5123;Retail
MCH-5124;Warung Berkah 5124;Market
MCH-5125;Bengkel Abadi 5125;F&B
MCH-5126;Minimarket Sejahtera 5126;Kesehatan
MCH-5127;Klinik Jaya 5127;F&B
MCH-5128;Apotek Sentosa 5128;Electronics
MCH-5129;Cafe Makmur 5129;Retail
MCH-5130;Warung Sejahtera 5130;
MCH-5131;Apotek Abadi 5131;Market
MCH-5132;Apotek Sentosa 5132;Food & Beverage
MCH-5133;Klinik Indah 5133;
MCH-5134;Resto Makmur 5134;Kesehatan
MCH-5135;Cafe Mandiri 5135;F&B
MCH-5136;Toko Indah 5136;F&B
MCH-5137;Cafe Abadi 5137;Electronics
MCH-5138;Toko Sentosa 5138;Market
MCH-5139;Cafe Mandiri 5139;Health
MCH-5140;Apotek Berkah 5140;F&B
MCH-5141;Apotek Berkah 5141;Market
MCH-5142;Toko Sejahtera 5142;Market
MCH-5143;Bengkel Abadi 5143;Retail
MCH-5144;Resto Makmur 5144;Market
MCH-5145;Bengkel Indah 5145;
MCH-5146;Toko Jaya 5146;
MCH-5147;Resto Indah 5147;Market
MCH-5148;Klinik Abadi 5148;Retail
MCH-5149;Apotek Sentosa 5149;Retail
MCH-5150;Cafe Sentosa 5150;Market
MCH-5151;Warung Jaya 5151;Kesehatan
MCH-5152;Toko Sentosa 5152;Electronics
MCH-5153;Resto Abadi 5153;Food & Beverage
MCH-5154;Warung Berkah 5154;Market
MCH-5155;Toko Berkah 5155;Electronics
MCH-5156;Warung Indah 5156;Health
MCH-5157;Bengkel Indah 5157;Kesehatan
MCH-5158;Cafe Berkah 5158;Food & Beverage
MCH-5159;Warung Sentosa 5159;Retail
MCH-5160;Cafe Sejahtera 5160;
MCH-5161;Toko Indah 5161;Food & Beverage
MCH-5162;Cafe Sentosa 5162;
MCH-5163;Apotek Sentosa 5163;Food & Beverage
MCH-5164;Warung Jaya 5164;Health
MCH-5165;Toko Indah 5165;Electronics
MCH-5166;Warung Mandiri 5166;Kesehatan
MCH-5167;Toko Sejahtera 5167;Market
MCH-5168;Klinik Mandiri 5168;F&B
MCH-5169;Apotek Mandiri 5169;Kesehatan
MCH-5170;Cafe Sentosa 5170;Health
MCH-5171;Cafe Berkah 5171;Kesehatan
MCH-5172;Bengkel Indah 5172;F&B
MCH-5173;Apotek Jaya 5173;Food & Beverage
MCH-5174;Apotek Sejahtera 5174;Retail
MCH-5175;Warung Makmur 5175;Market
MCH-5176;Bengkel Berkah 5176;Food & Beverage
MCH-5177;Apotek Makmur 5177;Food & Beverage
MCH-5178;Warung Berkah 5178;Market
MCH-5179;Klinik Mandiri 5179;Food & Beverage
MCH-5180;Toko Indah 5180;Retail
MCH-5181;Warung Abadi 5181;Retail
MCH-5182;Warung Abadi 5182;Electronics
MCH-5183;Resto Indah 5183;Market
MCH-5184;Apotek Sentosa 5184;Health
MCH-5185;Warung Indah 5185;Food & Beverage
MCH-5186;Warung Indah 5186;F&B
MCH-5187;Klinik Berkah 5187;
MCH-5188;Klinik Makmur 5188;Health
MCH-5189;Resto Berkah 5189;Market
MCH-5190;Minimarket Jaya 5190;Market
MCH-5191;Bengkel Indah 5191;
MCH-5192;Toko Sejahtera 5192;
MCH-5193;Warung Sentosa 5193;
MCH-5194;Klinik Jaya 5194;Kesehatan
MCH-5195;Bengkel Jaya 5195;F&B
MCH-5196;Minimarket Sejahtera 5196;Market
MCH-5197;Warung Berkah 5197;
MCH-5198;Minimarket Abadi 5198;Health
MCH-5199;Cafe Jaya 5199;
MCH-5200;Minimarket Sejahtera 5200;Market
