merchant_code;nama_merchant;kategori
MCH-5901;Minimarket Indah 5901;F&B
MCH-5902;Klinik Abadi 5902;Retail
MCH-5903;Bengkel Indah 5903;Health
MCH-5904;Bengkel Jaya 5904;Retail
MCH-5905;Minimarket Jaya 5905;Market
MCH-5906;Cafe Indah 5906;Food & Beverage
MCH-5907;Resto Berkah 5907;
MCH-5908;Klinik Sentosa 5908;Retail
MCH-5909;Minimarket Mandiri 5909;F&B
MCH-5910;Minimarket Jaya 5910;Kesehatan
MCH-5911;Warung Indah 5911;Market
MCH-5912;Apotek Sentosa 5912;Electronics
MCH-5913;Toko Mandiri 5913;Electronics
MCH-5914;Cafe Indah 5914;Electronics
MCH-5915;Bengkel Sejahtera 5915;Retail
MCH-5916;Warung Jaya 5916;
MCH-5917;Bengkel Berkah 5917;Retail
MCH-5918;Cafe Abadi 5918;
MCH-5919;Warung Berkah 5919;Market
MCH-5920;Resto Mandiri 5920;Market
MCH-5921;Apotek Indah 5921;Electronics
MCH-5922;Cafe Berkah 5922;Electronics
MCH-5923;Warung Jaya 5923;Food & Beverage
MCH-5924;Toko Sejahtera 5924;F&B
MCH-5925;Klinik Berkah 5925;F&B
MCH-5926;Minimarket Jaya 5926;
MCH-5927;Cafe Abadi 5927;Food & Beverage
MCH-5928;Klinik Sejahtera 5928;Food & Beverage
MCH-5929;Cafe Sejahtera 5929;Food & Beverage
MCH-5930;Minimarket Jaya 5930;Food & Beverage
MCH-5931;Apotek Makmur 5931;Kesehatan
MCH-5932;Minimarket Mandiri 5932;
MCH-5933;Toko Sentosa 5933;Health
MCH-5934;Klinik Sejahtera 5934;Kesehatan
MCH-5935;Klinik Indah 5935;Kesehatan
MCH-5936;Resto Makmur 5936;
MCH-5937;Resto Jaya 5937;Health
MCH-5938;Toko Mandiri 5938;Market
MCH-5939;Bengkel Jaya 5939;Health
MCH-5940;Toko Indah 5940;
MCH-5941;Apotek Sejahtera 5941;Food & Beverage
MCH-5942;Bengkel Mandiri 5942;Electronics
MCH-5943;Toko Sejahtera 5943;Retail
MCH-5944;Cafe Berkah 5944;Kesehatan
MCH-5945;Bengkel Sentosa 5945;Electronics
MCH-5946;Bengkel Sentosa 5946;Retail
MCH-5947;Apotek Mandiri 5947;Food & Beverage
MCH-5948;Cafe Sejahtera 5948;
MCH-5949;Warung Indah 5949;Retail
MCH-5950;Resto Sentosa 5950;
MCH-5951;Cafe Makmur 5951;Food & Beverage
MCH-5952;Apotek Sejahtera 5952;Health
MCH-5953;Apotek Makmur 5953;Electronics
MCH-5954;Minimarket Berkah 5954;Market
MCH-5955;Resto Indah 5955;Retail
MCH-5956;Warung Indah 5956;Market
MCH-5957;Cafe Mandiri 5957;Kesehatan
MCH-5958;Klinik Mandiri 5958;Health
MCH-5959;Apotek Sentosa 5959;Health
MCH-5960;Klinik Sejahtera 5960;
MCH-5961;Resto Sejahtera 5961;Food & Beverage
MCH-5962;Minimarket Sentosa 5962;
MCH-5963;Toko Makmur 5963;Health
MCH-5964;Klinik Sentosa 5964;Retail
MCH-5965;Resto Sejahtera 5965;Market
MCH-5966;Bengkel Berkah 5966;Market
MCH-5967;Cafe Berkah 5967;Food & Beverage
MCH-5968;Klinik Mandiri 5968;Market
MCH-5969;Toko Berkah 5969;Health
MCH-5970;Minimarket Abadi 5970;Food & Beverage
MCH-5971;Klinik Abadi 5971;Retail
MCH-5972;Minimarket Mandiri 5972;Health
MCH-5973;Klinik Sejahtera 5973;Electronics
MCH-5974;Toko Abadi 5974;F&B
MCH-5975;Toko Sentosa 5975;
MCH-5976;Bengkel Mandiri 5976;Kesehatan
MCH-5977;Bengkel Indah 5977;Retail
MCH-5978;Klinik Sentosa 5978;Food & Beverage
MCH-5979;Cafe Mandiri 5979;Market
MCH-5980;Warung Makmur 5980;Food & Beverage
MCH-5981;Toko Sejahtera 5981;Market
MCH-5982;Resto Abadi 5982;Food & Beverage
MCH-5983;Warung Makmur 5983;F&B
MCH-5984;Apotek Makmur 5984;
MCH-5985;Klinik Jaya 5985;Retail
MCH-5986;Apotek Mandiri 5986;Health
MCH-5987;Toko Makmur 5987;Retail
MCH-5988;Toko Sejahtera 5988;Health
MCH-5989;Toko Abadi 5989;Health
MCH-5990;Toko Sentosa 5990;Food & Beverage
MCH-5991;Klinik Sejahtera 5991;Retail
MCH-5992;Apotek Sentosa 5992;Electronics
MCH-5993;Klinik Sejahtera 5993;F&B
MCH-5994;Bengkel Berkah 5994;Kesehatan
MCH-5995;Bengkel Berkah 5995;F&B
MCH-5996;Apotek Sejahtera 5996;Market
MCH-5997;Toko Sejahtera 5997;F&B
MCH-5998;Apotek Makmur 5998;Food & Beverage
MCH-5999;Apotek Indah 5999;Food & Beverage
MCH-6000;Apotek Makmur 6000;Market
