merchant_code;nama_merchant;kategori
MCH-6501;Resto Indah 6501;Kesehatan
MCH-6502;Klinik Abadi 6502;
MCH-6503;Toko Mandiri 6503;
MCH-6504;Bengkel Abadi 6504;Kesehatan
MCH-6505;Warung Indah 6505;Food & Beverage
MCH-6506;Warung Sejahtera 6506;
MCH-6507;Cafe Sentosa 6507;Health
MCH-6508;Apotek Sentosa 6508;Market
MCH-6509;Apotek Sentosa 6509;Food & Beverage
MCH-6510;Resto Sentosa 6510;Food & Beverage
MCH-6511;Minimarket Sentosa 6511;Food & Beverage
MCH-6512;Toko Indah 6512;Food & Beverage
MCH-6513;Toko Sentosa 6513;
MCH-6514;Klinik Indah 6514;F&B
MCH-6515;Resto Mandiri 6515;Kesehatan
MCH-6516;Minimarket Berkah 6516;Health
MCH-6517;Klinik Jaya 6517;F&B
MCH-6518;Cafe Berkah 6518;
MCH-6519;Warung Mandiri 6519;F&B
MCH-6520;Klinik Mandiri 6520;F&B
MCH-6521;Warung Berkah 6521;Health
MCH-6522;Warung Indah 6522;Electronics
MCH-6523;Minimarket Sentosa 6523;Retail
MCH-6524;Apotek Mandiri 6524;Electronics
MCH-6525;Toko Mandiri 6525;Health
MCH-6526;Resto Sentosa 6526;
MCH-6527;Apotek Sentosa 6527;Retail
MCH-6528;Toko Sejahtera 6528;Health
MCH-6529;Klinik Sentosa 6529;F&B
MCH-6530;Bengkel Indah 6530;
MCH-6531;Minimarket Jaya 6531;Electronics
MCH-6532;Toko Mandiri 6532;
MCH-6533;Warung Mandiri 6533;Food & Beverage
MCH-6534;Warung Sejahtera 6534;
MCH-6535;Warung Makmur 6535;Electronics
MCH-6536;Warung Mandiri 6536;Kesehatan
MCH-6537;Cafe Jaya 6537;F&B
MCH-6538;Toko Jaya 6538;Food & Beverage
MCH-6539;Minimarket Sentosa 6539;Kesehatan
MCH-6540;Warung Jaya 6540;Food & Beverage
MCH-6541;Minimarket Jaya 6541;Retail
MCH-6542;Resto Berkah 6542;Electronics
MCH-6543;Minimarket Mandiri 6543;Health
MCH-6544;Apotek Makmur 6544;Kesehatan
MCH-6545;Resto Makmur 6545;Kesehatan
MCH-6546;Cafe Sentosa 6546;Health
MCH-6547;Klinik Makmur 6547;Retail
MCH-6548;Resto Abadi 6548;Kesehatan
MCH-6549;Klinik Abadi 6549;Retail
MCH-6550;Cafe Mandiri 6550;F&B
MCH-6551;Klinik Sentosa 6551;F&B
MCH-6552;Apotek Sentosa 6552;F&B
MCH-6553;Apotek Berkah 6553;
MCH-6554;Warung Jaya 6554;Market
MCH-6555;Apotek Indah 6555;F&B
MCH-6556;Warung Abadi 6556;Health
MCH-6557;Minimarket Mandiri 6557;Health
MCH-6558;Cafe Abadi 6558;Market
MCH-6559;Minimarket Indah 6559;Electronics
MCH-6560;Resto Sejahtera 6560;F&B
MCH-6561;Apotek Mandiri 6561;Kesehatan
MCH-6562;Cafe Indah 6562;Kesehatan
MCH-6563;Bengkel Sejahtera 6563;F&B
MCH-6564;Klinik Berkah 6564;Health
MCH-6565;Resto Indah 6565;Kesehatan
MCH-6566;Bengkel Jaya 6566;Electronics
MCH-6567;Apotek Sejahtera 6567;
MCH-6568;Klinik Indah 6568;Market
MCH-6569;Klinik Indah 6569;F&B
MCH-6570;Apotek Jaya 6570;Electronics
MCH-6571;Cafe Berkah 6571;Food & Beverage
MCH-6572;Klinik Indah 6572;Market
MCH-6573;Warung Abadi 6573;Retail
MCH-6574;Bengkel Mandiri 6574;Retail
MCH-6575;Minimarket Makmur 6575;Kesehatan
MCH-6576;Toko Berkah 6576;Electronics
MCH-6577;Toko Abadi 6577;Retail
MCH-6578;Warung Berkah 6578;Market
MCH-6579;Toko Berkah 6579;Retail
MCH-6580;Bengkel Makmur 6580;Electronics
MCH-6581;Bengkel Sejahtera 6581;F&B
MCH-6582;Cafe Mandiri 6582;
MCH-6583;Toko Sentosa 6583;
MCH-6584;Toko Sentosa 6584;Retail
MCH-6585;Cafe Mandiri 6585;Food & Beverage
MCH-6586;Resto Indah 6586;Electronics
MCH-6587;Minimarket Jaya 6587;Electronics
MCH-6588;Resto Indah 6588;Electronics
MCH-6589;Cafe Makmur 6589;F&B
MCH-6590;Apotek Sejahtera 6590;Market
MCH-6591;Cafe Berkah 6591;
MCH-6592;Cafe Berkah 6592;Health
MCH-6593;Resto Mandiri 6593;Electronics
MCH-6594;Minimarket Sentosa 6594;Market
MCH-6595;Apotek Abadi 6595;Kesehatan
MCH-6596;Resto Indah 6596;
MCH-6597;Cafe Abadi 6597;F&B
MCH-6598;Minimarket Makmur 6598;F&B
MCH-6599;Apotek Abadi 6599;Electronics
MCH-6600;Apotek Mandiri 6600;Electronics
