trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-280198;02-03-2028;N-13333;BIFAST;MCH-5238;Semarang;3.059.601,12;0
TRX-281942;22-12-2027;N-17314;ATM;MCH-5706;Jakarta Selatan;3.072.096;
TRX-282357;13-01-2028;N-13366;BI_FAST;MCH-5080;SBY;5.832.956;0
TRX-281041;14-02-2028;N-14682;bifast;MCH-5476;Banjarmasin;971.335;0
TRX-279366;29-02-2028;N-16042;BI_FAST;MCH-5741;Manado;8.211.967;6500
TRX-284574;11-12-2027;N-11263;qris;MCH-5214;Pekanbaru;5.990.866;0
TRX-276832;12-12-2027;N-17170;LIVIN;MCH-5878;Banjarmasin;5.259.905;0
TRX-280108;17-02-2028;N-12769;qris;MCH-5404;BDG;5.256.825,88;2500
TRX-276613;14-02-2028;N-18457;qris;MCH-5023;Jakarta Selatan;2.939.520;6500
TRX-277518;25-12-2027;N-15289;BIFAST;MCH-5651;Pontianak;5.724.389,28;2500
TRX-282526;25-01-2028;N-12664;ATM_LINK;MCH-5387;Pekanbaru;-6.291.859;0
TRX-281548;06-01-2028;N-12574;bifast;MCH-5138;Jakarta Selatan;796.681;2500
TRX-283193;10-12-2027;N-17234;BI_FAST;MCH-5587;Surabaya;7.318.145;0
TRX-278454;15-01-2028;N-12149;QRIS;MCH-5735;Semarang;7.636.278;0
TRX-278740;23-02-2028;N-12505;ATM;MCH-5118;Pekanbaru;8.152.373;0
TRX-279024;18-02-2028;N-15867;ATM_LINK;MCH-5762;Denpasar;6.288.702;2500
TRX-280783;04-02-2028;N-13212;ATM;MCH-5878;Surabaya;7.893.443;6500
TRX-281761;20-02-2028;N-13248;livin;MCH-5362;Jakarta Selatan;9.673.992;6500
TRX-278319;03-01-2028;N-13106;ATM_LINK;MCH-5188;Jakarta Selatan;5.645.897;6500
TRX-283286;24-02-2028;N-12631;LIVIN;MCH-5437;Jayapura;8.647.758;6500
TRX-275152;04-02-2028;N-16561;qris;MCH-5494;Jayapura;617.266;0
TRX-278691;03-02-2028;N-13945;bifast;MCH-5775;Pontianak;8.707.244,06;6500
TRX-282462;16-12-2027;N-16027;qris;MCH-5632;Pontianak;4.179.974;
TRX-275846;24-02-2028;N-17010;bifast;MCH-5373;Medan;8.867.192;0
TRX-275079;02-01-2028;N-10340;ATM_LINK;MCH-5479;Jakarta Selatan;2.980.910;2500
TRX-282409;22-12-2027;N-16606;QRIS;MCH-5506;Jkt Sel;2.890.276;2500
TRX-281905;30-12-2027;N-14954;qris;MCH-5836;BDG;4.470.346;6500
TRX-278299;24-02-2028;N-15687;livin;MCH-5463;Semarang;9.811.826;
TRX-282529;12-12-2027;N-16419;BIFAST;MCH-5330;Medan;3.107.913;6500
TRX-283099;13-02-2028;N-14596;BIFAST;MCH-5048;;1.791.463;2500
TRX-280544;02-03-2028;N-18864;livin;MCH-5285;Padang;8.476.926;0
TRX-276676;11-02-2028;N-17914;BI_FAST;MCH-5774;Palembang;5.560.178,84;2500
TRX-279116;27-02-2028;N-10574;bifast;MCH-5074;Medan;1.435.515;6500
TRX-282493;25-02-2028;N-10736;QRIS;MCH-5247;Jkt Sel;5.771.015;0
TRX-281279;23-02-2028;N-11650;BIFAST;MCH-5554;SBY;3.040.193,47;0
TRX-275625;26-02-2028;N-17965;livin;MCH-5799;Denpasar;2.610.304;6500
TRX-283165;24-01-2028;N-10889;bifast;MCH-5798;BDG;2.420.472;2500
TRX-276018;28-01-2028;N-17786;ATM;MCH-5881;Balikpapan;2.875.402;6500
TRX-278128;12-01-2028;N-13951;QRIS;MCH-5415;Jkt Sel;6.479.184;6500
TRX-276808;25-02-2028;N-11393;QRIS;MCH-5366;Yogyakarta;3.216.611;2500
TRX-281355;10-01-2028;N-12935;;MCH-5742;Jayapura;2.369.473,73;0
TRX-280655;24-12-2027;N-18052;QRIS;MCH-5167;Yogyakarta;4.912.475,72;0
TRX-276633;15-01-2028;N-11347;qris;MCH-5664;Manado;8.065.683;0
TRX-279661;24-12-2027;N-11605;ATM_LINK;MCH-5311;Pekanbaru;6.535.417;2500
TRX-275013;20-12-2027;N-12995;qris;MCH-5368;Semarang;9.745.772;6500
TRX-283676;14-01-2028;N-18748;qris;MCH-5092;Denpasar;5.056.867,51;6500
TRX-279281;30-12-2027;N-18869;BI_FAST;MCH-5498;Jkt Sel;6.724.805;2500
TRX-278773;31-13-2026;N-12938;bifast;MCH-5739;Padang;6.690.712;0
TRX-281500;25-01-2028;N-12262;ATM;MCH-5331;Balikpapan;9.425.737;2500
TRX-277531;06-01-2028;N-10406;ATM_LINK;MCH-5489;Bandung;726.281;6500
TRX-282206;19-02-2028;N-15935;livin;MCH-5453;Manado;5.388.267;6500
TRX-282233;26-12-2027;N-15523;BIFAST;MCH-5281;Banjarmasin;82.326;2500
TRX-284528;10-02-2028;N-16748;LIVIN;MCH-5109;Denpasar;1.376.665;0
TRX-277865;19-01-2028;N-17437;BIFAST;MCH-5112;Jayapura;7.691.252;6500
TRX-282523;29-01-2028;N-16822;BI_FAST;MCH-5464;Denpasar;4.442.408;0
TRX-282926;07-02-2028;N-12770;ATM;MCH-5512;Semarang;4.595.266;2500
TRX-280986;05-01-2028;N-11407;qris;MCH-5539;Palembang;2.108.750;6500
TRX-275585;12-01-2028;N-13293;LIVIN;MCH-5845;Yogyakarta;6.899.754,08;2500
TRX-281664;06-02-2028;N-13361;ATM;MCH-5170;Jayapura;9.797.652;
TRX-279880;16-02-2028;N-16406;ATM;MCH-5634;Surabaya;9.431.291;6500
TRX-276629;14-01-2028;N-13213;bifast;MCH-5781;BDG;4.193.185;0
TRX-284001;21-01-2028;N-17528;BIFAST;MCH-5429;Yogyakarta;6.790.850;0
TRX-276441;06-01-2028;N-14838;qris;MCH-5203;Semarang;-808.558;2500
TRX-282249;15-02-2028;N-10063;livin;MCH-5005;Yogyakarta;2.517.134;6500
TRX-277414;;N-10658;livin;MCH-5830;Jkt Sel;3.914.217;0
TRX-283367;27-12-2027;N-13580;bifast;MCH-5021;Padang;3.100.488,55;2500
TRX-276393;17-02-2028;N-14111;livin;MCH-5846;Manado;9.605.826;2500
TRX-284492;21-12-2027;N-17354;qris;MCH-5644;Pontianak;1.268.097;0
TRX-277027;27-01-2028;N-17096;ATM_LINK;MCH-5342;Yogyakarta;7.888.855,21;0
TRX-277076;16-02-2028;N-12269;BIFAST;MCH-5368;Jayapura;1.686.434;
TRX-276712;30-12-2027;N-10235;qris;MCH-5467;SBY;-1.724.822;2500
