merchant_code;nama_merchant;kategori
MCH-5801;Apotek Sejahtera 5801;Electronics
MCH-5802;Resto Berkah 5802;
MCH-5803;Toko Mandiri 5803;Market
MCH-5804;Resto Jaya 5804;Electronics
MCH-5805;Klinik Berkah 5805;Retail
MCH-5806;Minimarket Jaya 5806;Retail
MCH-5807;Resto Indah 5807;Retail
MCH-5808;Apotek Sentosa 5808;Food & Beverage
MCH-5809;Resto Berkah 5809;Health
MCH-5810;Bengkel Sejahtera 5810;F&B
MCH-5811;Klinik Indah 5811;
MCH-5812;Klinik Sentosa 5812;
MCH-5813;Resto Jaya 5813;Kesehatan
MCH-5814;Apotek Indah 5814;
MCH-5815;Apotek Abadi 5815;Market
MCH-5816;Bengkel Abadi 5816;Retail
MCH-5817;Toko Indah 5817;Kesehatan
MCH-5818;Cafe Berkah 5818;F&B
MCH-5819;Toko Berkah 5819;Retail
MCH-5820;Bengkel Sejahtera 5820;Electronics
MCH-5821;Klinik Makmur 5821;
MCH-5822;Apotek Makmur 5822;Kesehatan
MCH-5823;Bengkel Sejahtera 5823;
MCH-5824;Resto Jaya 5824;Food & Beverage
MCH-5825;Warung Abadi 5825;F&B
MCH-5826;Minimarket Abadi 5826;Electronics
MCH-5827;Cafe Makmur 5827;Retail
MCH-5828;Toko Makmur 5828;Market
MCH-5829;Minimarket Sentosa 5829;Market
MCH-5830;Toko Abadi 5830;Retail
MCH-5831;Minimarket Sejahtera 5831;Retail
MCH-5832;Apotek Indah 5832;Health
MCH-5833;Cafe Berkah 5833;F&B
MCH-5834;Toko Makmur 5834;Retail
MCH-5835;Minimarket Berkah 5835;Food & Beverage
MCH-5836;Cafe Sejahtera 5836;Food & Beverage
MCH-5837;Resto Sejahtera 5837;F&B
MCH-5838;Warung Abadi 5838;
MCH-5839;Klinik Berkah 5839;
MCH-5840;Apotek Jaya 5840;Health
MCH-5841;Cafe Jaya 5841;Kesehatan
MCH-5842;Warung Sejahtera 5842;Health
MCH-5843;Cafe Sejahtera 5843;Market
MCH-5844;Resto Makmur 5844;
MCH-5845;Bengkel Indah 5845;Electronics
MCH-5846;Warung Sejahtera 5846;
MCH-5847;Cafe Indah 5847;Retail
MCH-5848;Resto Abadi 5848;Health
MCH-5849;Minimarket Indah 5849;Food & Beverage
MCH-5850;Bengkel Berkah 5850;Food & Beverage
MCH-5851;Cafe Sejahtera 5851;Food & Beverage
MCH-5852;Cafe Makmur 5852;Food & Beverage
MCH-5853;Klinik Sejahtera 5853;
MCH-5854;Toko Berkah 5854;
MCH-5855;Resto Mandiri 5855;
MCH-5856;Klinik Indah 5856;Electronics
MCH-5857;Minimarket Berkah 5857;
MCH-5858;Toko Sentosa 5858;Market
MCH-5859;Minimarket Jaya 5859;Kesehatan
MCH-5860;Minimarket Jaya 5860;Food & Beverage
MCH-5861;Minimarket Indah 5861;F&B
MCH-5862;Resto Makmur 5862;Health
MCH-5863;Warung Sejahtera 5863;Kesehatan
MCH-5864;Minimarket Jaya 5864;Market
MCH-5865;Bengkel Sejahtera 5865;
MCH-5866;Cafe Abadi 5866;Kesehatan
MCH-5867;Toko Makmur 5867;Market
MCH-5868;Minimarket Abadi 5868;Kesehatan
MCH-5869;Warung Sejahtera 5869;Food & Beverage
MCH-5870;Apotek Indah 5870;
MCH-5871;Bengkel Abadi 5871;Electronics
MCH-5872;Apotek Sentosa 5872;Kesehatan
MCH-5873;Bengkel Makmur 5873;F&B
MCH-5874;Klinik Abadi 5874;
MCH-5875;Klinik Jaya 5875;Health
MCH-5876;Toko Mandiri 5876;Kesehatan
MCH-5877;Minimarket Mandiri 5877;Kesehatan
MCH-5878;Toko Indah 5878;Health
MCH-5879;Klinik Abadi 5879;Kesehatan
MCH-5880;Apotek Berkah 5880;Food & Beverage
MCH-5881;Toko Sentosa 5881;F&B
MCH-5882;Klinik Jaya 5882;
MCH-5883;Bengkel Jaya 5883;Electronics
MCH-5884;Apotek Berkah 5884;Electronics
MCH-5885;Klinik Berkah 5885;Market
MCH-5886;Warung Jaya 5886;F&B
MCH-5887;Warung Makmur 5887;Health
MCH-5888;Minimarket Berkah 5888;Market
MCH-5889;Cafe Indah 5889;Electronics
MCH-5890;Cafe Berkah 5890;
MCH-5891;Cafe Sejahtera 5891;Market
MCH-5892;Klinik Abadi 5892;F&B
MCH-5893;Apotek Sentosa 5893;Electronics
MCH-5894;Resto Jaya 5894;F&B
MCH-5895;Cafe Sentosa 5895;
MCH-5896;Bengkel Jaya 5896;F&B
MCH-5897;Toko Jaya 5897;Health
MCH-5898;Toko Mandiri 5898;Electronics
MCH-5899;Apotek Jaya 5899;Retail
MCH-5900;Resto Makmur 5900;Health
