merchant_code;nama_merchant;kategori
MCH-5501;Bengkel Indah 5501;
MCH-5502;Toko Indah 5502;Food & Beverage
MCH-5503;Cafe Makmur 5503;Market
MCH-5504;Minimarket Mandiri 5504;Health
MCH-5505;Toko Mandiri 5505;Market
MCH-5506;Warung Indah 5506;F&B
MCH-5507;Klinik Mandiri 5507;Food & Beverage
MCH-5508;Cafe Abadi 5508;Health
MCH-5509;Cafe Makmur 5509;
MCH-5510;Minimarket Mandiri 5510;Health
MCH-5511;Apotek Mandiri 5511;Retail
MCH-5512;Apotek Makmur 5512;Food & Beverage
MCH-5513;Klinik Berkah 5513;Health
MCH-5514;Minimarket Mandiri 5514;F&B
MCH-5515;Bengkel Abadi 5515;Kesehatan
MCH-5516;Klinik Berkah 5516;Kesehatan
MCH-5517;Resto Berkah 5517;Market
MCH-5518;Minimarket Sentosa 5518;F&B
MCH-5519;Toko Mandiri 5519;Food & Beverage
MCH-5520;Resto Indah 5520;Health
MCH-5521;Minimarket Mandiri 5521;
MCH-5522;Minimarket Makmur 5522;Electronics
MCH-5523;Toko Makmur 5523;Market
MCH-5524;Apotek Mandiri 5524;
MCH-5525;Warung Sentosa 5525;Kesehatan
MCH-5526;Klinik Abadi 5526;Market
MCH-5527;Resto Jaya 5527;Food & Beverage
MCH-5528;Cafe Jaya 5528;Market
MCH-5529;Klinik Sentosa 5529;
MCH-5530;Cafe Indah 5530;F&B
MCH-5531;Cafe Sejahtera 5531;Kesehatan
MCH-5532;Resto Indah 5532;Food & Beverage
MCH-5533;Bengkel Indah 5533;Market
MCH-5534;Bengkel Makmur 5534;Kesehatan
MCH-5535;Apotek Makmur 5535;Electronics
MCH-5536;Resto Makmur 5536;Health
MCH-5537;Bengkel Jaya 5537;Retail
MCH-5538;Minimarket Sentosa 5538;Electronics
MCH-5539;Klinik Makmur 5539;Market
MCH-5540;Resto Indah 5540;
MCH-5541;Toko Jaya 5541;Market
MCH-5542;Bengkel Makmur 5542;Health
MCH-5543;Klinik Jaya 5543;F&B
MCH-5544;Klinik Berkah 5544;Health
MCH-5545;Toko Sentosa 5545;Retail
MCH-5546;Cafe Indah 5546;Market
MCH-5547;Klinik Makmur 5547;Retail
MCH-5548;Apotek Sejahtera 5548;Market
MCH-5549;Toko Berkah 5549;Market
MCH-5550;Toko Mandiri 5550;Health
MCH-5551;Apotek Abadi 5551;
MCH-5552;Apotek Sentosa 5552;Health
MCH-5553;Bengkel Makmur 5553;
MCH-5554;Resto Sejahtera 5554;
MCH-5555;Cafe Mandiri 5555;Retail
MCH-5556;Warung Sentosa 5556;Food & Beverage
MCH-5557;Klinik Indah 5557;Health
MCH-5558;Apotek Sejahtera 5558;Retail
MCH-5559;Toko Jaya 5559;Kesehatan
MCH-5560;Bengkel Berkah 5560;Health
MCH-5561;Bengkel Makmur 5561;Kesehatan
MCH-5562;Minimarket Sejahtera 5562;Kesehatan
MCH-5563;Minimarket Sentosa 5563;
MCH-5564;Warung Sentosa 5564;Health
MCH-5565;Klinik Mandiri 5565;Market
MCH-5566;Apotek Mandiri 5566;Food & Beverage
MCH-5567;Resto Sejahtera 5567;Retail
MCH-5568;Warung Sentosa 5568;Food & Beverage
MCH-5569;Toko Abadi 5569;Food & Beverage
MCH-5570;Cafe Makmur 5570;
MCH-5571;Warung Berkah 5571;F&B
MCH-5572;Toko Sentosa 5572;F&B
MCH-5573;Apotek Jaya 5573;Retail
MCH-5574;Minimarket Abadi 5574;Market
MCH-5575;Resto Mandiri 5575;F&B
MCH-5576;Minimarket Indah 5576;Retail
MCH-5577;Apotek Indah 5577;F&B
MCH-5578;Cafe Abadi 5578;Electronics
MCH-5579;Cafe Berkah 5579;Food & Beverage
MCH-5580;Klinik Berkah 5580;Electronics
MCH-5581;Minimarket Jaya 5581;Market
MCH-5582;Bengkel Berkah 5582;Retail
MCH-5583;Apotek Berkah 5583;Food & Beverage
MCH-5584;Cafe Sentosa 5584;Electronics
MCH-5585;Bengkel Berkah 5585;Retail
MCH-5586;Warung Berkah 5586;Market
MCH-5587;Cafe Abadi 5587;Health
MCH-5588;Toko Jaya 5588;Electronics
MCH-5589;Resto Makmur 5589;Health
MCH-5590;Resto Abadi 5590;Electronics
MCH-5591;Klinik Sejahtera 5591;Kesehatan
MCH-5592;Minimarket Jaya 5592;
MCH-5593;Bengkel Sentosa 5593;Food & Beverage
MCH-5594;Cafe Sentosa 5594;Electronics
MCH-5595;Bengkel Mandiri 5595;
MCH-5596;Warung Berkah 5596;Health
MCH-5597;Bengkel Jaya 5597;Health
MCH-5598;Bengkel Indah 5598;Kesehatan
MCH-5599;Minimarket Sentosa 5599;Kesehatan
MCH-5600;Warung Indah 5600;Health
