merchant_code;nama_merchant;kategori
MCH-5701;Minimarket Berkah 5701;Food & Beverage
MCH-5702;Cafe Indah 5702;Health
MCH-5703;Klinik Makmur 5703;
MCH-5704;Klinik Sejahtera 5704;Retail
MCH-5705;Resto Berkah 5705;Retail
MCH-5706;Warung Mandiri 5706;Food & Beverage
MCH-5707;Minimarket Mandiri 5707;Market
MCH-5708;Warung Jaya 5708;Retail
MCH-5709;Apotek Indah 5709;Health
MCH-5710;Klinik Indah 5710;Retail
MCH-5711;Apotek Sentosa 5711;Retail
MCH-5712;Resto Abadi 5712;Kesehatan
MCH-5713;Bengkel Berkah 5713;Market
MCH-5714;Bengkel Indah 5714;Electronics
MCH-5715;Cafe Berkah 5715;Health
MCH-5716;Resto Sejahtera 5716;Food & Beverage
MCH-5717;Bengkel Makmur 5717;Market
MCH-5718;Bengkel Mandiri 5718;Health
MCH-5719;Cafe Abadi 5719;Electronics
MCH-5720;Apotek Abadi 5720;F&B
MCH-5721;Warung Sejahtera 5721;Kesehatan
MCH-5722;Minimarket Mandiri 5722;Market
MCH-5723;Apotek Mandiri 5723;
MCH-5724;Toko Mandiri 5724;F&B
MCH-5725;Minimarket Sejahtera 5725;Food & Beverage
MCH-5726;Bengkel Makmur 5726;Food & Beverage
MCH-5727;Bengkel Sejahtera 5727;F&B
MCH-5728;Minimarket Abadi 5728;Health
MCH-5729;Minimarket Berkah 5729;Electronics
MCH-5730;Klinik Abadi 5730;Health
MCH-5731;Minimarket Jaya 5731;Health
MCH-5732;Bengkel Abadi 5732;Electronics
MCH-5733;Resto Makmur 5733;Food & Beverage
MCH-5734;Apotek Sentosa 5734;Food & Beverage
MCH-5735;Minimarket Abadi 5735;Food & Beverage
MCH-5736;Cafe Jaya 5736;Retail
MCH-5737;Toko Sentosa 5737;
MCH-5738;Minimarket Berkah 5738;Retail
MCH-5739;Resto Makmur 5739;Retail
MCH-5740;Warung Indah 5740;Electronics
MCH-5741;Resto Sentosa 5741;Food & Beverage
MCH-5742;Apotek Berkah 5742;Health
MCH-5743;Apotek Indah 5743;F&B
MCH-5744;Bengkel Abadi 5744;
MCH-5745;Toko Sejahtera 5745;Food & Beverage
MCH-5746;Warung Berkah 5746;Health
MCH-5747;Minimarket Makmur 5747;Market
MCH-5748;Resto Makmur 5748;Retail
MCH-5749;Apotek Berkah 5749;F&B
MCH-5750;Minimarket Sejahtera 5750;
MCH-5751;Warung Berkah 5751;Kesehatan
MCH-5752;Bengkel Indah 5752;Market
MCH-5753;Apotek Indah 5753;F&B
MCH-5754;Warung Mandiri 5754;Market
MCH-5755;Resto Mandiri 5755;Food & Beverage
MCH-5756;Resto Jaya 5756;Kesehatan
MCH-5757;Cafe Sentosa 5757;Electronics
MCH-5758;Resto Berkah 5758;Electronics
MCH-5759;Bengkel Jaya 5759;F&B
MCH-5760;Minimarket Berkah 5760;
MCH-5761;Warung Makmur 5761;F&B
MCH-5762;Cafe Abadi 5762;F&B
MCH-5763;Warung Jaya 5763;F&B
MCH-5764;Resto Makmur 5764;Health
MCH-5765;Cafe Berkah 5765;Health
MCH-5766;Bengkel Indah 5766;Market
MCH-5767;Warung Sejahtera 5767;Health
MCH-5768;Minimarket Sejahtera 5768;Health
MCH-5769;Bengkel Makmur 5769;
MCH-5770;Resto Berkah 5770;Electronics
MCH-5771;Apotek Berkah 5771;
MCH-5772;Resto Sentosa 5772;F&B
MCH-5773;Toko Berkah 5773;Market
MCH-5774;Apotek Abadi 5774;F&B
MCH-5775;Cafe Sejahtera 5775;F&B
MCH-5776;Resto Mandiri 5776;Retail
MCH-5777;Toko Sentosa 5777;Retail
MCH-5778;Cafe Abadi 5778;F&B
MCH-5779;Klinik Berkah 5779;Health
MCH-5780;Toko Jaya 5780;Health
MCH-5781;Apotek Mandiri 5781;F&B
MCH-5782;Resto Indah 5782;Food & Beverage
MCH-5783;Resto Jaya 5783;Kesehatan
MCH-5784;Toko Mandiri 5784;Retail
MCH-5785;Klinik Berkah 5785;Food & Beverage
MCH-5786;Cafe Sentosa 5786;Kesehatan
MCH-5787;Apotek Sentosa 5787;Electronics
MCH-5788;Bengkel Sejahtera 5788;Kesehatan
MCH-5789;Cafe Sentosa 5789;Health
MCH-5790;Toko Makmur 5790;Kesehatan
MCH-5791;Toko Mandiri 5791;Retail
MCH-5792;Resto Jaya 5792;F&B
MCH-5793;Klinik Sejahtera 5793;Retail
MCH-5794;Resto Abadi 5794;
MCH-5795;Klinik Sejahtera 5795;Kesehatan
MCH-5796;Apotek Berkah 5796;Health
MCH-5797;Toko Jaya 5797;Food & Beverage
MCH-5798;Warung Berkah 5798;Retail
MCH-5799;Bengkel Mandiri 5799;Health
MCH-5800;Minimarket Makmur 5800;Electronics
