merchant_code;nama_merchant;kategori
MCH-6001;Minimarket Abadi 6001;F&B
MCH-6002;Toko Makmur 6002;Market
MCH-6003;Klinik Jaya 6003;Electronics
MCH-6004;Apotek Abadi 6004;
MCH-6005;Bengkel Berkah 6005;Food & Beverage
MCH-6006;Warung Jaya 6006;Kesehatan
MCH-6007;Warung Jaya 6007;Retail
MCH-6008;Toko Indah 6008;Electronics
MCH-6009;Toko Sentosa 6009;F&B
MCH-6010;Warung Berkah 6010;Kesehatan
MCH-6011;Apotek Berkah 6011;Health
MCH-6012;Toko Sejahtera 6012;Market
MCH-6013;Cafe Makmur 6013;Retail
MCH-6014;Cafe Indah 6014;Kesehatan
MCH-6015;Toko Indah 6015;Food & Beverage
MCH-6016;Toko Abadi 6016;Food & Beverage
MCH-6017;Resto Sejahtera 6017;Electronics
MCH-6018;Apotek Makmur 6018;Food & Beverage
MCH-6019;Apotek Berkah 6019;
MCH-6020;Resto Berkah 6020;Market
MCH-6021;Toko Berkah 6021;Retail
MCH-6022;Toko Jaya 6022;Kesehatan
MCH-6023;Resto Abadi 6023;Kesehatan
MCH-6024;Resto Indah 6024;Food & Beverage
MCH-6025;Klinik Abadi 6025;Market
MCH-6026;Minimarket Sentosa 6026;Market
MCH-6027;Apotek Berkah 6027;Retail
MCH-6028;Cafe Jaya 6028;Electronics
MCH-6029;Klinik Abadi 6029;Kesehatan
MCH-6030;Minimarket Jaya 6030;Electronics
MCH-6031;Resto Jaya 6031;Retail
MCH-6032;Minimarket Mandiri 6032;Market
MCH-6033;Bengkel Sentosa 6033;
MCH-6034;Klinik Mandiri 6034;Health
MCH-6035;Cafe Sejahtera 6035;Electronics
MCH-6036;Warung Mandiri 6036;Kesehatan
MCH-6037;Toko Sejahtera 6037;F&B
MCH-6038;Toko Sentosa 6038;Market
MCH-6039;Bengkel Indah 6039;Kesehatan
MCH-6040;Klinik Abadi 6040;F&B
MCH-6041;Resto Abadi 6041;
MCH-6042;Minimarket Makmur 6042;Kesehatan
MCH-6043;Minimarket Indah 6043;F&B
MCH-6044;Cafe Mandiri 6044;Retail
MCH-6045;Toko Abadi 6045;Market
MCH-6046;Cafe Makmur 6046;Health
MCH-6047;Bengkel Jaya 6047;F&B
MCH-6048;Bengkel Indah 6048;Kesehatan
MCH-6049;Cafe Indah 6049;Retail
MCH-6050;Klinik Mandiri 6050;Electronics
MCH-6051;Toko Sentosa 6051;F&B
MCH-6052;Klinik Makmur 6052;Electronics
MCH-6053;Warung Mandiri 6053;
MCH-6054;Resto Berkah 6054;Retail
MCH-6055;Apotek Berkah 6055;F&B
MCH-6056;Minimarket Berkah 6056;
MCH-6057;Apotek Indah 6057;Kesehatan
MCH-6058;Resto Sentosa 6058;Food & Beverage
MCH-6059;Resto Makmur 6059;F&B
MCH-6060;Klinik Indah 6060;
MCH-6061;Apotek Sentosa 6061;
MCH-6062;Bengkel Abadi 6062;Kesehatan
MCH-6063;Resto Makmur 6063;Food & Beverage
MCH-6064;Klinik Abadi 6064;Health
MCH-6065;Resto Berkah 6065;Kesehatan
MCH-6066;Klinik Makmur 6066;Kesehatan
MCH-6067;Apotek Jaya 6067;Kesehatan
MCH-6068;Bengkel Mandiri 6068;Food & Beverage
MCH-6069;Warung Berkah 6069;F&B
MCH-6070;Minimarket Abadi 6070;Electronics
MCH-6071;Apotek Sentosa 6071;Electronics
MCH-6072;Warung Berkah 6072;Retail
MCH-6073;Warung Jaya 6073;F&B
MCH-6074;Cafe Abadi 6074;Retail
MCH-6075;Apotek Jaya 6075;Health
MCH-6076;Warung Sejahtera 6076;Food & Beverage
MCH-6077;Cafe Mandiri 6077;F&B
MCH-6078;Bengkel Makmur 6078;F&B
MCH-6079;Toko Makmur 6079;Retail
MCH-6080;Cafe Sejahtera 6080;Retail
MCH-6081;Bengkel Berkah 6081;Market
MCH-6082;Minimarket Jaya 6082;Health
MCH-6083;Klinik Sejahtera 6083;F&B
MCH-6084;Bengkel Makmur 6084;
MCH-6085;Resto Mandiri 6085;Retail
MCH-6086;Minimarket Makmur 6086;Kesehatan
MCH-6087;Cafe Berkah 6087;Food & Beverage
MCH-6088;Resto Mandiri 6088;Kesehatan
MCH-6089;Cafe Jaya 6089;Kesehatan
MCH-6090;Apotek Makmur 6090;Food & Beverage
MCH-6091;Klinik Berkah 6091;
MCH-6092;Bengkel Berkah 6092;Food & Beverage
MCH-6093;Cafe Indah 6093;Electronics
MCH-6094;Warung Sejahtera 6094;Health
MCH-6095;Minimarket Jaya 6095;Kesehatan
MCH-6096;Cafe Makmur 6096;F&B
MCH-6097;Toko Makmur 6097;Health
MCH-6098;Toko Makmur 6098;Market
MCH-6099;Toko Abadi 6099;F&B
MCH-6100;Warung Berkah 6100;
