trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-298522;09-07-2028;N-15315;ATM;MCH-5751;Manado;8.314.447;2500
TRX-299009;16-08-2028;N-19992;ATM_LINK;MCH-5609;Pekanbaru;166.948;2500
TRX-303157;22-07-2028;N-16604;ATM;MCH-5919;Balikpapan;7.779.487;6500
TRX-303698;08-08-2028;N-11206;LIVIN;MCH-5832;Banjarmasin;3.000.803;2500
TRX-301272;21-07-2028;N-11578;LIVIN;MCH-5701;Makassar;7.261.717;
TRX-295390;13-08-2028;N-17006;qris;MCH-5223;Balikpapan;7.362.295;6500
TRX-304885;31-05-2028;N-12703;livin;MCH-5259;Makassar;2.860.832,61;
TRX-297471;23-07-2028;N-15107;qris;MCH-5124;Palembang;3.592.278;0
TRX-303099;05-06-2028;N-19768;QRIS;MCH-5320;Medan;543.812;2500
TRX-302501;30-06-2028;N-17008;livin;MCH-5616;SBY;-4.177.926;6500
TRX-303997;19-06-2028;N-14617;LIVIN;MCH-5217;Yogyakarta;8.773.585;0
TRX-300879;20-08-2028;N-17333;ATM_LINK;MCH-5012;Surabaya;5.200.954;0
TRX-303983;20-08-2028;N-18518;qris;MCH-5516;Semarang;3.216.619;0
TRX-296987;02-07-2028;N-11505;ATM;MCH-5183;BDG;1.154.898;0
TRX-303512;16-08-2028;N-20650;LIVIN;MCH-5095;Jayapura;-5.545.486;6500
TRX-297597;02-07-2028;N-15252;ATM_LINK;MCH-5213;Manado;7.609.263;0
TRX-299059;16-07-2028;N-15723;ATM;MCH-5779;Bandung;327.427;6500
TRX-303645;22-08-2028;N-17765;bifast;MCH-5821;Banjarmasin;1.557.858,51;0
TRX-301445;23-06-2028;N-20525;livin;MCH-6028;Makassar;6.627.721,34;0
TRX-304663;04-07-2028;N-19260;ATM;MCH-5218;Makassar;9.075.052;0
TRX-296040;02-06-2028;N-17780;ATM;MCH-5912;Jkt Sel;6.747.623;2500
TRX-301746;13-06-2028;N-18006;LIVIN;MCH-5933;Yogyakarta;5.730.523;2500
TRX-295084;19-07-2028;N-20397;ATM;MCH-5401;Jkt Sel;2.453.475,27;0
TRX-298677;06-07-2028;N-15473;bifast;MCH-5398;Padang;155.173;2500
TRX-300884;;N-11688;BIFAST;MCH-5848;Medan;3.246.942;
TRX-297115;14-08-2028;N-14677;LIVIN;MCH-5976;Makassar;7.350.223;6500
TRX-304676;04-08-2028;N-18991;ATM;MCH-5465;Semarang;7.126.644;2500
TRX-304036;20-06-2028;N-17655;ATM;MCH-5866;Jakarta Selatan;547.244;6500
TRX-298421;15-07-2028;N-19896;LIVIN;MCH-5187;Jayapura;-7.164.024;2500
TRX-304421;14-07-2028;N-12673;bifast;MCH-5994;Semarang;4.897.930;6500
TRX-295365;30-06-2028;N-16069;LIVIN;;Denpasar;4.952.277;0
TRX-304194;23-08-2028;N-18358;BIFAST;MCH-5696;Jkt Sel;5.109.240;2500
TRX-300080;13-07-2028;N-14419;BIFAST;MCH-5790;Padang;397.861,54;0
TRX-298519;02-06-2028;N-17052;bifast;MCH-5562;Jayapura;4.398.875;6500
TRX-304817;30-07-2028;N-14004;BI_FAST;MCH-5944;Makassar;1.090.923;6500
TRX-296236;13-08-2028;N-10098;ATM;MCH-5653;Makassar;3.120.935;0
TRX-300091;16-07-2028;N-10752;ATM_LINK;MCH-5002;Denpasar;2.728.273;2500
TRX-297742;13-07-2028;N-16045;QRIS;MCH-5498;BDG;8.267.942;2500
TRX-302600;01-06-2028;N-14767;BIFAST;MCH-5026;Makassar;7.420.904,07;6500
TRX-304670;22-08-2028;N-13942;BIFAST;MCH-5149;Surabaya;8.591.236,78;2500
TRX-302803;14-06-2028;N-14098;BIFAST;MCH-6090;Jkt Sel;8.446.370;0
TRX-301849;07-07-2028;N-16146;livin;MCH-5858;Medan;6.479.626;2500
TRX-300113;01-06-2028;N-13567;bifast;MCH-5098;Padang;9.727.434;0
TRX-302060;30-06-2028;N-16514;bifast;MCH-5681;Denpasar;5.307.768,51;6500
TRX-304192;05-08-2028;N-15090;ATM_LINK;MCH-5091;Surabaya;6.184.323;0
TRX-303036;05-07-2028;N-17138;bifast;MCH-5558;Pontianak;8.165.249;2500
TRX-302748;02-06-2028;N-20159;livin;MCH-5861;Pontianak;1.701.681;0
TRX-297751;11-06-2028;N-16585;BI_FAST;MCH-5442;Palembang;6.096.592,41;6500
TRX-298417;31-05-2028;N-10207;ATM_LINK;MCH-5272;Manado;5.399.788;0
TRX-301780;24-07-2028;N-20482;qris;MCH-5132;Banjarmasin;776.047;6500
TRX-295873;16-07-2028;N-15574;ATM;MCH-5501;Bandung;9.397.680;2500
TRX-295532;25-06-2028;N-12160;ATM_LINK;MCH-5987;Banjarmasin;7.223.810,33;0
TRX-301836;08-06-2028;N-14128;BI_FAST;MCH-5260;Surabaya;8.175.982,04;2500
TRX-296531;23-07-2028;N-13295;BI_FAST;MCH-6038;Padang;8.962.403;0
TRX-299587;22-07-2028;N-16322;bifast;MCH-5795;Bandung;9.616.190,49;2500
TRX-302631;23-08-2028;N-15899;BIFAST;MCH-5924;SBY;6.876.026,50;2500
TRX-298483;31-13-2026;N-19289;BIFAST;MCH-5001;Pekanbaru;515.902;6500
TRX-297215;06-07-2028;N-19711;ATM;MCH-5799;Surabaya;2.441.371;2500
TRX-298944;02-08-2028;N-16224;ATM;MCH-5825;Jkt Sel;5.857.261,77;2500
TRX-296735;17-07-2028;N-14096;bifast;MCH-5537;Manado;7.440.423;2500
TRX-302412;27-06-2028;N-16010;ATM;MCH-5428;Surabaya;2.980.863;2500
TRX-304720;01-07-2028;N-16680;LIVIN;MCH-5034;Balikpapan;-1.601.013,18;2500
TRX-303370;23-07-2028;N-17741;QRIS;MCH-5141;Medan;8.289.590;0
TRX-298299;08-08-2028;N-11685;BI_FAST;MCH-5706;BDG;6.484.254;2500
TRX-299845;08-06-2028;N-20680;ATM;MCH-5413;Padang;9.608.491;6500
TRX-300319;02-07-2028;N-18857;BIFAST;MCH-5733;BDG;4.027.708;2500
TRX-300212;21-06-2028;N-14813;qris;MCH-6075;Padang;3.579.444;6500
TRX-299561;28-06-2028;N-16780;BIFAST;MCH-5782;Pontianak;4.473.952,15;2500
TRX-303519;06-07-2028;N-14260;BIFAST;MCH-5780;Palembang;5.701.616;2500
TRX-301721;20-07-2028;N-19947;livin;MCH-5400;Pekanbaru;1.218.395;2500
TRX-304019;11-07-2028;N-18656;qris;MCH-5814;Semarang;3.298.885,92;2500
TRX-300870;26-06-2028;N-13003;ATM_LINK;MCH-5308;Medan;1.573.296;6500
TRX-302414;08-08-2028;N-19190;qris;MCH-5668;Makassar;8.181.887,63;0
TRX-301231;20-08-2028;N-12981;qris;MCH-5292;Pontianak;8.050.316;2500
TRX-301460;21-07-2028;N-15835;ATM_LINK;MCH-6070;Jayapura;2.907.811;6500
TRX-298043;08-06-2028;N-13177;livin;MCH-5610;Medan;9.117.042;0
TRX-297293;14-06-2028;N-11175;ATM;MCH-5757;Padang;7.820.874;2500
TRX-297017;07-06-2028;N-11855;QRIS;MCH-6050;SBY;2.200.184;2500
TRX-296159;31-07-2028;N-17395;bifast;MCH-5965;Manado;9.910.557;2500
TRX-301159;28-06-2028;N-15944;LIVIN;MCH-5516;Jakarta Selatan;1.063.860;6500
TRX-297591;14-06-2028;N-16954;BI_FAST;MCH-6089;Jayapura;-6.698.810,41;0
TRX-297096;17-07-2028;N-11022;ATM;MCH-5284;Pontianak;4.531.382;2500
TRX-300449;17-06-2028;N-19925;ATM;MCH-5313;Surabaya;9.014.647;6500
TRX-298008;12-06-2028;N-20116;BIFAST;MCH-5651;Pontianak;4.318.967;6500
TRX-304514;01-06-2028;N-20215;LIVIN;MCH-5514;Padang;8.010.661,28;0
TRX-300207;26-06-2028;N-18331;qris;MCH-5846;Jakarta Selatan;3.768.026;2500
TRX-297196;;N-14231;QRIS;MCH-5447;Bandung;1.856.731;0
TRX-297984;06-06-2028;N-19313;bifast;MCH-5724;Banjarmasin;9.990.631;0
TRX-295392;09-08-2028;N-17951;ATM;MCH-5421;Bandung;1.276.572;0
TRX-303241;31-13-2026;N-16943;ATM_LINK;MCH-5203;Padang;8.324.571;0
TRX-301297;06-07-2028;N-18736;ATM;MCH-5077;Medan;791.490;6500
TRX-299113;06-06-2028;N-10870;BIFAST;MCH-5275;Jakarta Selatan;3.134.081;0
TRX-296276;;N-17237;QRIS;MCH-5407;BDG;9.007.681,22;2500
TRX-300021;12-08-2028;N-15944;qris;MCH-5466;Padang;1.750.417;2500
TRX-298113;18-07-2028;N-14394;ATM;MCH-5854;Manado;1.230.366,48;6500
TRX-302957;13-06-2028;N-19604;BI_FAST;MCH-5706;Padang;9.863.805;0
TRX-303602;11-06-2028;N-20935;QRIS;MCH-5477;Manado;8.655.832;2500
TRX-302271;14-06-2028;N-11390;BIFAST;MCH-5826;SBY;809.810;2500
