trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-264261;25-07-2027;N-15719;LIVIN;MCH-5584;Balikpapan;6.148.045;2500
TRX-257036;30-08-2027;N-14807;livin;MCH-5190;Manado;4.966.937;0
TRX-263204;04-07-2027;N-14901;BIFAST;MCH-5346;Jayapura;4.864.463;0
TRX-258045;08-08-2027;N-11489;BI_FAST;MCH-5434;Balikpapan;7.786.390;0
TRX-264723;13-09-2027;N-11981;LIVIN;MCH-5265;BDG;3.577.411;
TRX-258953;22-08-2027;N-13235;LIVIN;MCH-5192;Pekanbaru;3.890.123;
TRX-262001;05-07-2027;N-15288;ATM_LINK;MCH-5335;Pekanbaru;2.112.612,32;0
TRX-259150;04-09-2027;N-16010;LIVIN;MCH-5700;BDG;2.694.677;0
TRX-264082;22-06-2027;N-11143;QRIS;MCH-5402;Jakarta Selatan;6.166.426;2500
TRX-264781;24-07-2027;N-16369;QRIS;MCH-5535;Medan;7.010.493;6500
TRX-257901;11-08-2027;N-10271;BI_FAST;MCH-5078;Jayapura;4.749.207;6500
TRX-260192;19-08-2027;N-14814;ATM_LINK;MCH-5241;Jakarta Selatan;3.169.811;2500
TRX-261825;23-06-2027;N-16552;ATM;MCH-5691;Bandung;5.867.093;2500
TRX-255117;24-07-2027;N-13990;BI_FAST;MCH-5431;Balikpapan;1.681.287;6500
TRX-256872;18-07-2027;N-13842;qris;MCH-5300;Yogyakarta;5.058.123;0
TRX-257869;21-06-2027;N-13478;ATM;MCH-5654;Jkt Sel;3.137.091;6500
TRX-255386;13-07-2027;N-15366;BI_FAST;MCH-5286;Denpasar;273.693;0
TRX-256998;26-07-2027;N-16040;livin;MCH-5241;Denpasar;1.518.775;2500
TRX-255771;08-07-2027;N-12226;livin;MCH-5528;Surabaya;7.813.201;0
TRX-261492;26-08-2027;N-14331;BIFAST;MCH-5689;Balikpapan;1.563.649,07;6500
TRX-261057;21-07-2027;N-15307;BIFAST;MCH-5482;Manado;8.756.155;2500
TRX-262879;15-07-2027;N-12578;QRIS;MCH-5500;Jkt Sel;4.764.635;6500
TRX-260435;21-06-2027;N-13585;ATM;MCH-5243;Jkt Sel;775.391;0
TRX-256053;02-09-2027;N-14464;ATM_LINK;MCH-5453;Pontianak;5.096.209,32;2500
TRX-257976;10-08-2027;N-13748;ATM_LINK;MCH-5463;Jayapura;8.309.131;0
TRX-262423;06-09-2027;N-14990;qris;MCH-5605;Medan;3.683.718;0
TRX-256989;06-09-2027;N-12587;bifast;MCH-5423;BDG;5.377.230;0
TRX-256374;25-08-2027;N-10736;qris;MCH-5667;Denpasar;79.204;
TRX-260501;26-07-2027;N-12183;LIVIN;MCH-5411;BDG;8.239.718;0
TRX-263761;11-09-2027;N-12776;QRIS;MCH-5695;Pekanbaru;9.613.068;0
TRX-259788;24-06-2027;N-14599;BIFAST;MCH-5302;BDG;3.711.409;0
TRX-264458;14-07-2027;N-16206;LIVIN;MCH-5397;BDG;9.001.871,11;2500
